model,method,accuracy_original,precision_original,recall_original,f1_original,roc_auc_original,accuracy_ablated_mean,accuracy_ablated_std,accuracy_delta,accuracy_pct_change,precision_ablated_mean,precision_ablated_std,precision_delta,precision_pct_change,recall_ablated_mean,recall_ablated_std,recall_delta,recall_pct_change,f1_ablated_mean,f1_ablated_std,f1_delta,f1_pct_change,roc_auc_ablated_mean,roc_auc_ablated_std,roc_auc_delta,roc_auc_pct_change
logistic_regression,shuffle,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.853798449612403,0.0075968992248062,-0.009767441860465187,-1.1310592459605109,0.780034548256187,0.009729091401996551,-0.01388437066273196,-1.7488398792207063,0.8916030534351144,0.009534348089157846,-0.00534351145038181,-0.5957446808510785,0.8320679999124401,0.008445278172162465,-0.010225906897595727,-1.214054478480514,0.923119008231519,0.0031329635341842133,-0.016609531022661495,-1.7674818129758747
random_forest,shuffle,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553226,0.8745736434108528,0.0028963630530650323,0.00015503875968991832,0.017730496453900232,0.8816456033090085,0.005801421402546555,-0.00021093677537964428,-0.023919624767930955,0.7984732824427481,0.007969699625122539,0.0007633587786258778,0.09569377990429663,0.8379601138378261,0.004134057431331917,0.0002847631364233383,0.03399445097493919,0.9444960436888366,0.001604567446875838,-0.008088015466486076,-0.8490605515336777
xgboost,shuffle,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.8755038759689923,0.005634971114848455,-0.009767441860465076,-1.1033274956217116,0.8565638972373206,0.011306197584622103,-0.00497456430114096,-0.5774047849538614,0.833206106870229,0.006398112448183272,-0.02175572519083968,-2.544642857142856,0.8446741978110273,0.006400677673077958,-0.01356335008169307,-1.5803724871972729,0.9446161281964404,0.0026167084115657716,-0.010170310724891829,-1.0651922053251734
svm,shuffle,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.8813953488372093,0.006976744186046508,-0.00852713178294573,-0.9581881533101038,0.8522938924360297,0.009496820131513253,-0.010823978286403801,-1.254055634063524,0.8564885496183205,0.00839694656488552,-0.009923664122137521,-1.1453744493392204,0.8543751024375725,0.008440649938710356,-0.0103868023243322,-1.2011170088710146,0.9373990991170551,0.0024540050815009674,-0.011597373089111462,-1.2220670391061232
mlp,shuffle,0.8837209302325582,0.8424908424908425,0.8778625954198473,0.8598130841121495,0.9467641958822474,0.8728682170542637,0.003100775193798444,-0.010852713178294504,-1.2280701754385888,0.8284995086587783,0.0051430509334200476,-0.01399133383206419,-1.6607104939797932,0.866412213740458,0.005120766360686542,-0.011450381679389388,-1.304347826086965,0.847016091988267,0.0036217351451375964,-0.012796992123882522,-1.488345823103728,0.9381918561776252,0.002036571821173541,-0.008572339704622123,-0.9054355606079865
naive_bayes,shuffle,0.772093023255814,0.6433915211970075,0.9847328244274809,0.7782805429864253,0.8275068263807227,0.7725581395348837,0.001395348837209313,0.00046511627906975495,0.06024096385542006,0.6438764655525365,0.0014441637164781236,0.0004849443555290378,0.07537313432835045,0.9847328244274808,1.1102230246251565e-16,-1.1102230246251565e-16,-1.1274357846968644e-14,0.778634300431209,0.001056550978803631,0.00035375744478360893,0.04545371819603347,0.8266069399876427,0.0008231549106380211,-0.0008998863930800294,-0.10874670327686287
logistic_regression,random,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.8510077519379845,0.005860793231452976,-0.012558139534883717,-1.4542190305206457,0.776046351596062,0.010066702554914212,-0.017872567322857025,-2.251182947900289,0.8904580152671755,0.013872352553729954,-0.0064885496183206826,-0.723404255319157,0.8292086049160815,0.006544081357603752,-0.013085301893954293,-1.553531586558829,0.9233073565463498,0.0030022118887886753,-0.016421182707830773,-1.7474389700735824
random_forest,random,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553226,0.8768992248062014,0.002103048056783015,0.002480620155038582,0.28368794326239105,0.8846014241004092,0.0036503008315212707,0.002744884016021021,0.31126196736697703,0.8015267175572518,0.00482790482468453,0.003816793893129611,0.47846889952151095,0.8410047927194023,0.002899997381614586,0.003329442017999562,0.39746209736406257,0.9449280489506308,0.0011204524789061423,-0.0076560102046918654,-0.8037096706699689
xgboost,random,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.8737984496124032,0.003192443454569624,-0.011472868217054177,-1.2959719789842286,0.8836173097057962,0.005080343171417866,0.02207884816733463,2.5627234479941983,0.7938931297709925,0.00451609143748065,-0.061068702290076216,-7.142857142857128,0.836348768472168,0.004130824127367186,-0.02188877942055234,-2.5504336735554287,0.9466057441253264,0.0011230189643658948,-0.008180694796005805,-0.8568088592929667
svm,random,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.8796899224806202,0.007111531746468052,-0.01023255813953483,-1.1498257839721195,0.8444051406029173,0.011139489153803596,-0.01871273011951624,-2.168038775961573,0.8629770992366413,0.010018629578936409,-0.0034351145038167274,-0.39647577092510244,0.8535392575888968,0.008376441291836224,-0.011222647173007916,-1.2977730761738229,0.9374967612062266,0.001473184638578253,-0.01149971099993996,-1.2117759482504886
mlp,random,0.8837209302325582,0.8424908424908425,0.8778625954198473,0.8598130841121495,0.9467641958822474,0.8708527131782946,0.003328823341640929,-0.012868217054263553,-1.4561403508771915,0.8241441907270678,0.006158191974976789,-0.018346651763774702,-2.1776677963089104,0.867175572519084,0.006996298770924932,-0.010687022900763399,-1.2173913043478306,0.8450797661054941,0.003919031937180278,-0.01473331800665545,-1.7135489420784054,0.9376706595180675,0.0012393616789322121,-0.009093536364179866,-0.9604858742789703
naive_bayes,random,0.772093023255814,0.6433915211970075,0.9847328244274809,0.7782805429864253,0.8275068263807227,0.7719379844961239,0.001085271317829471,-0.00015503875969002934,-0.020080321285154402,0.6432330740313394,0.0011228502748686976,-0.00015844716566804085,-0.024626865671660614,0.9847328244274808,1.1102230246251565e-16,-1.1102230246251565e-16,-1.1274357846968644e-14,0.7781640402843893,0.0008215898652930297,-0.00011650270203600321,-0.0149692425290446,0.826735495186654,0.0006297892827198512,-0.0007713311940686918,-0.09321145995160826
