model,method,accuracy_original,precision_original,recall_original,f1_original,roc_auc_original,accuracy_ablated_mean,accuracy_ablated_std,accuracy_delta,accuracy_pct_change,precision_ablated_mean,precision_ablated_std,precision_delta,precision_pct_change,recall_ablated_mean,recall_ablated_std,recall_delta,recall_pct_change,f1_ablated_mean,f1_ablated_std,f1_delta,f1_pct_change,roc_auc_ablated_mean,roc_auc_ablated_std,roc_auc_delta,roc_auc_pct_change
logistic_regression,shuffle,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.8618604651162791,0.004069582867723024,-0.0017054263565891015,-0.19748653500897134,0.7879114459181126,0.005596395903407509,-0.006007473000806396,-0.7566859609526353,0.9030534351145038,0.006201556034073235,0.006106870229007577,0.680851063829781,0.8415456322230567,0.0045441004600935975,-0.0007482745869791252,-0.08883770628390465,0.9375680146692442,0.002197548630683566,-0.0021605245849363186,-0.2299094360432033
random_forest,shuffle,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553226,0.8755038759689923,0.003737045207191925,0.0010852713178294282,0.12411347517730163,0.8841530051741346,0.0047218488713926966,0.002296465089746458,0.2604125484545026,0.7980916030534351,0.007130359424530294,0.00038167938931288337,0.047846889952141355,0.8389058821146378,0.005140617927313516,0.0012305314132350365,0.14689836727375197,0.9508769656986826,0.0009502638685139729,-0.0017070934566399965,-0.17920659497007688
xgboost,shuffle,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.884031007751938,0.004090203397914092,-0.0012403100775193465,-0.14010507880910306,0.8633753425369297,0.005876543869980484,0.0018368809984681267,0.21320940160790752,0.848854961832061,0.0059620226533638665,-0.006106870229007688,-0.7142857142857206,0.8560424534300362,0.005054806377479952,-0.0021950944626841773,-0.2557677030181117,0.954233352600004,0.0007015223048826659,-0.0005530863213282222,-0.05792775209009778
svm,shuffle,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.8905426356589148,0.004113643150828403,0.0006201550387597843,0.06968641114983638,0.8639282153945244,0.007351745488425888,0.0008103446720908458,0.09388574835237552,0.867175572519084,0.0033274037736951583,0.0007633587786258778,0.08810572687223786,0.8655363627534352,0.00467902657680267,0.0007744579915304195,0.08955736686199785,0.9480766547744803,0.001113528504980638,-0.0009198174316862318,-0.09692527407903834
mlp,shuffle,0.8837209302325582,0.8424908424908425,0.8778625954198473,0.8598130841121495,0.9467641958822474,0.8787596899224805,0.0030063130898705967,-0.004961240310077608,-0.5614035087719399,0.837387007647514,0.004257635295451705,-0.005103834843328547,-0.6058030053168233,0.8706106870229009,0.004961832061068682,-0.007251908396946449,-0.8260869565217259,0.8536664351851913,0.0036410917189410004,-0.006146648926958265,-0.7148819947657983,0.9444990333446276,0.001923237047539964,-0.0022651625376197693,-0.23925308408066331
naive_bayes,shuffle,0.772093023255814,0.6433915211970075,0.9847328244274809,0.7782805429864253,0.8275068263807227,0.7716279069767442,0.0007104768519311697,-0.00046511627906975495,-0.06024096385542006,0.6429113782707411,0.000733430434671181,-0.00048014292626641364,-0.07462686567164026,0.9847328244274808,1.1102230246251565e-16,-1.1102230246251565e-16,-1.1274357846968644e-14,0.7779289102109797,0.0005371279367690733,-0.00035163277544569826,-0.045180722891569366,0.826992605584677,0.0006297892827198784,-0.0005142207960456835,-0.06214097330105875
logistic_regression,random,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.8612403100775193,0.0037498873247900416,-0.0023255813953488857,-0.26929982046679196,0.7866563271923661,0.004595938752192811,-0.007262591726552858,-0.914777511089211,0.9034351145038167,0.006166219244810484,0.0064885496183205715,0.7234042553191445,0.8409999671820743,0.004332853037758207,-0.0012939396279615378,-0.15362091753245494,0.9365425627329442,0.0011588407881785996,-0.003185976521236311,-0.3390315807333972
random_forest,random,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553226,0.877984496124031,0.003470237098542535,0.0035658914728681212,0.40780141843970535,0.8855694633858171,0.0035695705376625514,0.0037129233014289165,0.4210348432720829,0.8034351145038168,0.007089380008017815,0.005725190839694583,0.7177033492822874,0.8424925405475772,0.004885655660921099,0.004817189846174408,0.575066443359098,0.9508899208737767,0.0007894050105625592,-0.001694138281545965,-0.17784659162239128
xgboost,random,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.8834108527131782,0.0011602038408601442,-0.0018604651162791308,-0.21015761821366716,0.8680124990770016,0.0022625612668521816,0.006474037538540034,0.7514507857233967,0.8408396946564887,0.001749074692731265,-0.014122137404580015,-1.6517857142856984,0.8542075419044428,0.0013772755784514155,-0.0040300059882775185,-0.4695676620269787,0.9544874733422357,0.0002968319883783229,-0.00029896557909647736,-0.031312298427094654
svm,random,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.8868217054263565,0.0037338277763697097,-0.0031007751937984773,-0.34843205574913205,0.857716867178822,0.00623455696930473,-0.0054010035436115045,-0.6257550361100552,0.8648854961832061,0.003892381308086093,-0.0015267175572519776,-0.17621145374450137,0.8612765618188709,0.0043365311160228235,-0.00348534294303382,-0.40304075883100343,0.9474348753313533,0.0004870081072110855,-0.0015615968748132758,-0.1645524425589249
