model,method,accuracy_original,precision_original,recall_original,f1_original,roc_auc_original,accuracy_ablated_mean,accuracy_ablated_std,accuracy_delta,accuracy_pct_change,precision_ablated_mean,precision_ablated_std,precision_delta,precision_pct_change,recall_ablated_mean,recall_ablated_std,recall_delta,recall_pct_change,f1_ablated_mean,f1_ablated_std,f1_delta,f1_pct_change,roc_auc_ablated_mean,roc_auc_ablated_std,roc_auc_delta,roc_auc_pct_change
logistic_regression,shuffle,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.8570542635658915,0.004941822465274194,-0.00651162790697668,-0.7540394973069944,0.7843483910487613,0.005466727824821945,-0.009570527870157663,-1.2054792551347524,0.8938931297709924,0.010354702264313382,-0.003053435114503733,-0.3404255319148843,0.8355161968548972,0.0061031087271905754,-0.0067777099551386,-0.8046727989292211,0.9292876646802064,0.00411744590547551,-0.010440874573974135,-1.1110521962289852
random_forest,shuffle,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553226,0.8733333333333334,0.0025047278172718734,-0.0010852713178294282,-0.12411347517730163,0.8818464657945844,0.004303489815363588,-1.0074289803818637e-05,-0.001142395542346898,0.7946564885496183,0.0041108128298736595,-0.003053435114503844,-0.38277511961722827,0.8359757314383559,0.00325524831905673,-0.0016996192630468476,-0.20289713211970742,0.9470601718055528,0.0015997501972101903,-0.005523887349769829,-0.579884504331091
xgboost,shuffle,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.8700775193798449,0.0060365650647850365,-0.015193798449612439,-1.716287215411563,0.8480680755521298,0.007701486245614492,-0.013470385986331768,-1.56352694484208,0.8286259541984732,0.00972346504034885,-0.026335877862595503,-3.0803571428571526,0.8382123099695997,0.007702799728232645,-0.02002523792312061,-2.3332978115778924,0.94567048013872,0.0027156325808442216,-0.009115958782612177,-0.9547641662056816
svm,shuffle,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.8793798449612403,0.003655760038000488,-0.010542635658914667,-1.1846689895470315,0.8512617051597721,0.003911386423152313,-0.011856165562661447,-1.373643851533022,0.851908396946565,0.007201512314547034,-0.01450381679389312,-1.6740088105726862,0.8515726201188241,0.004808557722713579,-0.013189284643080668,-1.5251926074047029,0.9405252825224721,0.003224895361298629,-0.008471189683694424,-0.8926471205947839
mlp,shuffle,0.8837209302325582,0.8424908424908425,0.8778625954198473,0.8598130841121495,0.9467641958822474,0.8776744186046512,0.0036982512998066956,-0.006046511627906925,-0.6842105263157836,0.8372264964827506,0.0054907416121747965,-0.005264346008091891,-0.6248549826996027,0.8675572519083969,0.00541123926670145,-0.010305343511450404,-1.1739130434782634,0.8521098370294526,0.004401256636482857,-0.0077032470826968735,-0.8959211280962668,0.9429224881908596,0.0022674272129941673,-0.003841707691387808,-0.40577238853101033
naive_bayes,shuffle,0.772093023255814,0.6433915211970075,0.9847328244274809,0.7782805429864253,0.8275068263807227,0.7727131782945736,0.000759531703188562,0.0006201550387596733,0.08032128514056008,0.6440349127182045,0.0007879904658828733,0.0006433915211969676,0.0999999999999938,0.9847328244274808,1.1102230246251565e-16,-1.1102230246251565e-16,-1.1274357846968644e-14,0.7787508031332449,0.0005759487030371213,0.0004702601468195011,0.060422960725063805,0.8268640503856656,0.0006427759950571099,-0.0006427759950571321,-0.0776762166263268
logistic_regression,random,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.8570542635658915,0.005225519239179144,-0.00651162790697668,-0.7540394973069944,0.7836402315773008,0.0073631850320207606,-0.010278687341618187,-1.2946772140931844,0.8954198473282442,0.010822478533402909,-0.0015267175572519776,-0.17021276595745452,0.8357580377181929,0.006130302471220134,-0.006535869091842894,-0.7759606283507096,0.929106292228888,0.0017572206149820543,-0.010622247025292575,-1.1303527116163745
random_forest,random,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553226,0.8734883720930233,0.0031924434545696134,-0.0009302325581395099,-0.1063829787234014,0.8790306215920957,0.0061851525144290985,-0.002825918492292523,-0.3204510443413052,0.7984732824427481,0.004451108316675787,0.0007633587786258778,0.09569377990429663,0.8368029760189556,0.003953863327684363,-0.0008723746824471634,-0.1041423364930944,0.9467293165646862,0.0008797160591853962,-0.0058547425906364525,-0.6146168975185227
xgboost,random,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.8689922480620155,0.003484062799107628,-0.016279069767441867,-1.838879159369528,0.8675292367324057,0.0054826078198264485,0.005990775193944087,0.6953578350113672,0.799618320610687,0.007489090408529987,-0.05534351145038163,-6.473214285714281,0.832164260053885,0.004753431645205066,-0.026073287838835335,-3.03800362765001,0.9478688736970085,0.0011105766481702983,-0.006917565224323741,-0.7245143984385497
svm,random,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.8801550387596899,0.0035388254916320513,-0.009767441860465076,-1.0975609756097517,0.8505622360046159,0.007296311444409629,-0.01255563471781762,-1.4546836699497947,0.8553435114503817,0.008087641259701173,-0.011068702290076393,-1.2775330396475837,0.8528987121870666,0.004318015957744576,-0.011863192574838144,-1.3718449563414155,0.9405033583800053,0.0011291712861855679,-0.008493113826161247,-0.8949573654807164
mlp,random,0.8837209302325582,0.8424908424908425,0.8778625954198473,0.8598130841121495,0.9467641958822474,0.8775193798449612,0.005280429880907422,-0.006201550387596955,-0.7017543859649186,0.8371799407328672,0.007216015498883198,-0.005310901757975328,-0.6303809477944629,0.867175572519084,0.008836516719687198,-0.010687022900763399,-1.2173913043478306,0.851887506853758,0.006464137708725689,-0.007925577258391492,-0.9217790941824887,0.9423992984274412,0.0005641399411399925,-0.004364897454806171,-0.46103321965388844
