model,method,accuracy_original,precision_original,recall_original,f1_original,roc_auc_original,accuracy_ablated_mean,accuracy_ablated_std,accuracy_delta,accuracy_pct_change,precision_ablated_mean,precision_ablated_std,precision_delta,precision_pct_change,recall_ablated_mean,recall_ablated_std,recall_delta,recall_pct_change,f1_ablated_mean,f1_ablated_std,f1_delta,f1_pct_change,roc_auc_ablated_mean,roc_auc_ablated_std,roc_auc_delta,roc_auc_pct_change
logistic_regression,shuffle,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.8637209302325581,0.0008349092724239317,0.00015503875968991832,0.017953321364451942,0.7943873110398534,0.0011304760690245255,0.0004683921209344133,0.05899747565812184,0.8965648854961833,0.0011450381679389166,-0.00038167938931288337,-0.04255319148935125,0.8423884995785151,0.0009382978430936455,9.459276847934017e-05,0.011230375491802514,0.9394933529986249,0.0002543141169729269,-0.00023518625555563055,-0.025027041930884328
random_forest,shuffle,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553225,0.8813953488372093,0.005514238525202713,0.006976744186046435,0.7978723404255231,0.8796609488460045,0.00481258127757407,-0.002195591238383643,-0.24897374329996333,0.8202290076335877,0.013049863356701339,0.02251908396946556,2.822966507177022,0.8488563680456938,0.007910961705794955,0.011181017344291,1.3347673815313896,0.9441781436230642,0.0031920049911052044,-0.008405915532258335,-0.8824329413733888
xgboost,shuffle,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.78015503875969,0.012762242249461512,-0.1051162790697674,-11.8739054290718,0.7188194623440685,0.013709192183601237,-0.14271899919439313,-16.56559812077777,0.7534351145038168,0.02187259356014412,-0.10152671755725184,-11.874999999999993,0.7356545739553753,0.01662994626933854,-0.12258297393734507,-14.283105445378153,0.8805104338987103,0.009277476773593153,-0.07427600502262188,-7.779331795551582
svm,shuffle,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.8875968992248062,0.0022198172191126037,-0.0023255813953487747,-0.26132404181183966,0.8640036938668159,0.002460616978997152,0.0008858231443823472,0.10263061100112655,0.8583969465648856,0.0039848498125612765,-0.008015267175572438,-0.925110132158581,0.8611879873784158,0.00287390862613811,-0.0035739173834888893,-0.41328339787041124,0.9472455304645925,0.0009355632494100881,-0.0017509417415740858,-0.18450455748308608
mlp,shuffle,0.8837209302325582,0.8424908424908425,0.8778625954198473,0.8598130841121495,0.9467641958822474,0.873953488372093,0.006086135326012577,-0.009767441860465187,-1.1052631578947447,0.8418903538748894,0.0077876802628003405,-0.0006004886159530765,-0.0712753878935608,0.8492366412213739,0.011856659974816084,-0.02862595419847347,-3.260869565217413,0.845502294150994,0.007853357731432324,-0.014310789961155534,-1.6644070933083066,0.9382008251449981,0.0033746816746166425,-0.00856337073724922,-0.90448823207445
naive_bayes,shuffle,0.772093023255814,0.6433915211970075,0.9847328244274809,0.7782805429864253,0.8275068263807227,0.7724031007751938,0.0013515965716405362,0.00031007751937983663,0.04016064257028004,0.644362989217394,0.001260419709087246,0.0009714680203865012,0.15099173495154533,0.981297709923664,0.00267175572519084,-0.0034351145038168385,-0.34883720930233014,0.7779118989040352,0.0013102368196476137,-0.0003686440823901238,-0.04736647802803335,0.8273359177246725,0.002071550849335505,-0.0001709086560501838,-0.020653443645617907
logistic_regression,random,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.8629457364341085,0.0010284107877070999,-0.0006201550387596733,-0.07181328545780777,0.7938439367010797,0.0016790991457992246,-7.498221783930337e-05,-0.00944456871507821,0.8950381679389314,0.0025603831803432623,-0.00190839694656475,-0.21276595744679339,0.8414059219471903,0.0012232499376415276,-0.0008879848628454701,-0.10542458584420689,0.9396787116576645,0.0002465736121412479,-4.982759651606106e-05,-0.005302339392140515
random_forest,random,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553225,0.8779844961240311,0.002598923196006214,0.0035658914728682323,0.407801418439718,0.8814196848200018,0.0033819485724850976,-0.0004368552643864154,-0.0495381328514739,0.8083969465648855,0.007401037950253936,0.010687022900763288,1.339712918660278,0.8433058136354037,0.00388563126749807,0.005630462934000935,0.6721533502551356,0.9446505092380363,0.0019335904269258625,-0.007933549917286231,-0.8328451270033941
xgboost,random,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.7741085271317829,0.011519911930703817,-0.11116279069767443,-12.5569176882662,0.7292614144457713,0.018320257419618676,-0.13227704709269028,-15.353585823258692,0.7068702290076335,0.020254197193010092,-0.14809160305343516,-17.321428571428577,0.7176511751527475,0.014201510398432959,-0.14058637273997288,-16.380822895148626,0.8790674267036056,0.008683212022045686,-0.07571901221772659,-7.930465822626259
svm,random,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.8865116279069767,0.0025756973218350613,-0.003410852713178314,-0.38327526132404405,0.8605985873536273,0.0038910413871648553,-0.0025192833688062466,-0.29188172951367525,0.8599236641221374,0.005411239266701463,-0.0064885496183206826,-0.7488986784141052,0.860247850911082,0.0033009376493763174,-0.004514053850822708,-0.5219996193131986,0.947492675343312,0.0005944029202665043,-0.0015037968628545118,-0.15846179695047555
