model,method,accuracy_original,precision_original,recall_original,f1_original,roc_auc_original,accuracy_ablated_mean,accuracy_ablated_std,accuracy_delta,accuracy_pct_change,precision_ablated_mean,precision_ablated_std,precision_delta,precision_pct_change,recall_ablated_mean,recall_ablated_std,recall_delta,recall_pct_change,f1_ablated_mean,f1_ablated_std,f1_delta,f1_pct_change,roc_auc_ablated_mean,roc_auc_ablated_std,roc_auc_delta,roc_auc_pct_change
logistic_regression,shuffle,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.8634108527131783,0.002896363053065018,-0.00015503875968991832,-0.017953321364451942,0.7970724508983313,0.003672766965734432,0.0031535319794123717,0.397210836555771,0.8904580152671757,0.004842968526889136,-0.0064885496183204605,-0.7234042553191322,0.8411739515506342,0.0034088767182955462,-0.0011199552594015616,-0.13296490100980243,0.9381390389253184,0.001771673429886551,-0.0015895003288621812,-0.16914462660926471
random_forest,shuffle,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553226,0.8756589147286821,0.0013515965716404826,0.0012403100775192355,0.14184397163118917,0.883222594895609,0.0017925509909121297,0.0013660548112207627,0.15490669390398124,0.799618320610687,0.0025603831803432376,0.001908396946564861,0.23923444976076247,0.83934162859543,0.0018473419078679535,0.0016662778940272904,0.19891690648794688,0.9501285551990113,0.0009072148141285612,-0.0024555039563113334,-0.25777294221033714
xgboost,shuffle,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.8813953488372093,0.0027076355343523813,-0.003875968992248069,-0.43782837127845964,0.8596365604748613,0.002721904637321484,-0.0019019010636003308,-0.22075637345360982,0.8461832061068701,0.005674072040961268,-0.008778625954198538,-1.026785714285722,0.8528488583162691,0.0036468197779559054,-0.005388689576451222,-0.6278785622561469,0.9519522452314989,0.001000829914490076,-0.0028341936898332865,-0.2968405890887192
svm,shuffle,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.8888372093023256,0.001967221324100698,-0.0010852713178294282,-0.12195121951219184,0.8649796685832485,0.002212421112398566,0.0018617978608149732,0.21570609576843078,0.8606870229007633,0.003518910098203401,-0.005725190839694805,-0.6607929515418673,0.8628254298792232,0.0025362319323419666,-0.0019364748826815603,-0.2239315668299161,0.94608953022542,0.0026428711258895113,-0.0029069419807465913,-0.30631746965178047
mlp,shuffle,0.8837209302325582,0.8424908424908425,0.8778625954198473,0.8598130841121495,0.9467641958822474,0.8827906976744184,0.002214396411951279,-0.0009302325581397319,-0.10526315789475912,0.8436605474813635,0.002760357166643918,0.0011697049905210477,0.13883889670097654,0.8732824427480915,0.0033274037736951583,-0.004580152671755822,-0.5217391304347936,0.8582137530470579,0.002713619167387455,-0.0015993310650915804,-0.1860091564834773,0.9435752297052199,0.0032055591969166256,-0.0031889661770274635,-0.33682792303481734
naive_bayes,shuffle,0.772093023255814,0.6433915211970075,0.9847328244274809,0.7782805429864253,0.8275068263807227,0.7724031007751938,0.002575697321835073,0.00031007751937983663,0.04016064257028004,0.6443593783453608,0.0019619825089729104,0.000967857148353346,0.1504305102673224,0.981297709923664,0.003984849812561274,-0.0034351145038168385,-0.34883720930233014,0.7779106766205413,0.002641994409331171,-0.00036986636588409727,-0.047523527244410176,0.8271719849321348,0.0025983195389963055,-0.0003348414485878637,-0.040463889591384285
logistic_regression,random,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.8448062015503878,0.0061019127609781235,-0.01875968992248045,-2.1723518850987236,0.7906000744709059,0.01036846236060742,-0.003318844448013114,-0.41803317302633264,0.8408396946564887,0.009040243726967177,-0.05610687022900751,-6.255319148936156,0.8148834368159603,0.006683750775087391,-0.02741046999407548,-3.254264309934919,0.9216520837900865,0.004827794669333443,-0.018076455464094088,-1.9235826846804656
random_forest,random,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553226,0.8631007751937985,0.006724108044093472,-0.01131782945736437,-1.2943262411347551,0.8924334807847585,0.0071454902275084956,0.010576940700370296,1.1993947109989282,0.7538167938931297,0.013138866013785121,-0.04389312977099247,-5.50239234449762,0.8172496226188137,0.009856490834134063,-0.020425728082589023,-2.4383823715818,0.9456929025571522,0.0023812597427336993,-0.0068911565981704115,-0.7234171653345692
xgboost,random,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.8207751937984495,0.006548437854866011,-0.0644961240310078,-7.28546409807356,0.8781988956748817,0.00841678886153037,0.016660434136420155,1.9338003908344823,0.6488549618320612,0.01749074692731237,-0.20610687022900753,-24.107142857142847,0.746148339575972,0.011643519900259754,-0.11208920831674829,-13.060394361906832,0.9356655970342616,0.0032095627009521193,-0.01912084188707064,-2.0026302330678645
svm,random,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.8463565891472868,0.008217054263565874,-0.04356589147286816,-4.895470383275255,0.8247556459381886,0.011583757122958485,-0.03836222478424489,-4.444610184253923,0.7896946564885495,0.016323209755987108,-0.07671755725190854,-8.85462555066081,0.8067372933384785,0.010920786183623571,-0.05802461142342619,-6.709894492797082,0.9184117951886475,0.005010383461772096,-0.030584677017519102,-3.222844121476847
mlp,random,0.8837209302325582,0.8424908424908425,0.8778625954198473,0.8598130841121495,0.9467641958822474,0.8643410852713178,0.007011112591996912,-0.019379844961240345,-2.1929824561403546,0.852250395154963,0.007782862849167982,0.009759552664120541,1.1584164683934381,0.8057251908396946,0.013703300054210872,-0.07213740458015272,-8.217391304347831,0.8282878808013938,0.009539398483187824,-0.0315252033107557,-3.6665182111422387,0.9355151176927828,0.0022676310892624407,-0.011249078189464523,-1.1881604985053336
naive_bayes,random,0.772093023255814,0.6433915211970075,0.9847328244274809,0.7782805429864253,0.8275068263807227,0.761860465116279,0.006693653688348184,-0.010232558139534942,-1.3253012048192845,0.6781085656426467,0.006449390908970771,0.03471704444563917,5.395943729729188,0.7877862595419848,0.02284981610243629,-0.1969465648854961,-19.999999999999993,0.7286803692822269,0.010502297306335026,-0.04960017370419845,-6.373045574783638,0.8305273752815259,0.004880055786689396,0.003020548900803166,0.36501800402229667
