model,method,accuracy_original,precision_original,recall_original,f1_original,roc_auc_original,accuracy_ablated_mean,accuracy_ablated_std,accuracy_delta,accuracy_pct_change,precision_ablated_mean,precision_ablated_std,precision_delta,precision_pct_change,recall_ablated_mean,recall_ablated_std,recall_delta,recall_pct_change,f1_ablated_mean,f1_ablated_std,f1_delta,f1_pct_change,roc_auc_ablated_mean,roc_auc_ablated_std,roc_auc_delta,roc_auc_pct_change
logistic_regression,shuffle,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.8627906976744185,0.003552384259655694,-0.0007751937984497026,-0.08976660682227257,0.7929848945602151,0.004197379217132577,-0.0009340243587038222,-0.11764732347928993,0.8961832061068703,0.0056095184949233046,-0.0007633587786258778,-0.08510638297871488,0.8414242170972377,0.004158110307777293,-0.0008696897127981051,-0.10325252334922184,0.9391904012118072,0.001198525128173927,-0.0005381380423733484,-0.057265265435105746
random_forest,shuffle,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553226,0.8789147286821706,0.0018924892427494022,0.004496124031007742,0.5141843971631194,0.8829665083040542,0.0021216320023053417,0.0011099682196660243,0.12586720959849174,0.8091603053435115,0.0038167938931297773,0.011450381679389277,1.4354066985645886,0.8444498043782869,0.0026251579279448875,0.006774453676884118,0.8087206662117643,0.9485430410778705,0.0016038728565042131,-0.004041018077452163,-0.4242164288404557
xgboost,shuffle,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.8838759689922482,0.004069582867723001,-0.0013953488372091538,-0.1576182136602284,0.8644627139457232,0.006226026108104106,0.002924252407261574,0.3394221544142898,0.8469465648854962,0.006022799174831886,-0.008015267175572438,-0.9374999999999906,0.8556006751085692,0.005020264835928151,-0.0026368727841511452,-0.3072427663676111,0.9528047954078888,0.0017760753744171186,-0.001981643513443432,-0.20754835140748218
svm,shuffle,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.8900775193798449,0.0034978338519933145,0.00015503875968991832,0.01742160278745598,0.8601753255891271,0.00490095459271374,-0.0029425451333063846,-0.3409204273390216,0.8709923664122137,0.0056095184949232916,0.0045801526717556,0.5286343612334656,0.8655395394361515,0.004309353761356783,0.000777634674246741,0.08992471453293811,0.9485878859147349,0.0005481216805031156,-0.00040858629143170067,-0.04305456378376679
mlp,shuffle,0.8837209302325582,0.8424908424908425,0.8778625954198473,0.8598130841121495,0.9467641958822474,0.8765891472868216,0.00524388667450783,-0.0071317829457365756,-0.8070175438596651,0.8441762373386803,0.0065844636767544516,0.0016853948478378067,0.20004904063466142,0.8538167938931297,0.00966335030623831,-0.024045801526717647,-2.739130434782619,0.8489420665116831,0.006711159868497202,-0.010871017600466382,-1.2643466122281553,0.9396826978653857,0.0021816986818147836,-0.007081498016861643,-0.7479685065891947
naive_bayes,shuffle,0.772093023255814,0.6433915211970075,0.9847328244274809,0.7782805429864253,0.8275068263807227,0.7727131782945736,0.000759531703188562,0.0006201550387596733,0.08032128514056008,0.6440349127182046,0.0007879904658828733,0.0006433915211970787,0.10000000000001107,0.9847328244274808,1.1102230246251565e-16,-1.1102230246251565e-16,-1.1274357846968644e-14,0.7787508031332449,0.0005759487030371213,0.0004702601468195011,0.060422960725063805,0.8275157953480955,2.989655790930357e-06,8.96896737279107e-06,0.0010838541854716484
logistic_regression,random,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.862325581395349,0.003720930232558159,-0.0012403100775192355,-0.14362657091560269,0.791779539016759,0.0037105450558533527,-0.0021393799021599547,-0.2694708302295092,0.8969465648854961,0.006610880944919358,-1.1102230246251565e-16,-1.2377805636246427e-14,0.8410813141840979,0.004503374824119264,-0.0012125926259378694,-0.1439631245262407,0.9394594702329938,0.0007694000494909674,-0.0002690690211867297,-0.028632632717558785
random_forest,random,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553226,0.8787596899224805,0.002278595109565733,0.004341085271317713,0.49645390070920653,0.8810190646039853,0.0028327336634915885,-0.0008374754804029161,-0.09496731524186178,0.8110687022900762,0.005191400957532611,0.013358778625954026,1.6746411483253372,0.8445879966035031,0.003209849206143326,0.006912645902100389,0.8252177763512188,0.9502177465967752,0.0009760218870799925,-0.0023663125585474676,-0.24840984223961604
xgboost,random,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.8807751937984497,0.00520939460973999,-0.004496124031007631,-0.5078809106829986,0.8572657178095449,0.0087452381030418,-0.004272743728916728,-0.4959434685349773,0.8477099236641221,0.006260007430098005,-0.00725190839694656,-0.8482142857142851,0.8524379666467545,0.006158373765565825,-0.005799581245965801,-0.6757547791058366,0.95322783170231,0.0011258320219516664,-0.0015586072190222344,-0.16324144913317656
svm,random,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.8893023255813952,0.003480611522580412,-0.0006201550387597843,-0.06968641114983638,0.8591106008463747,0.00548672762045089,-0.004007269876058817,-0.46427840414249727,0.8702290076335878,0.0056612202191569745,0.003816793893129722,0.4405286343612278,0.8646186860153801,0.004229146795148378,-0.00014321874652467592,-0.016561639190628825,0.9481200047834492,0.0008695006965960271,-0.0008764674227174085,-0.09235728987272765
