model,method,accuracy_original,precision_original,recall_original,f1_original,roc_auc_original,accuracy_ablated_mean,accuracy_ablated_std,accuracy_delta,accuracy_pct_change,precision_ablated_mean,precision_ablated_std,precision_delta,precision_pct_change,recall_ablated_mean,recall_ablated_std,recall_delta,recall_pct_change,f1_ablated_mean,f1_ablated_std,f1_delta,f1_pct_change,roc_auc_ablated_mean,roc_auc_ablated_std,roc_auc_delta,roc_auc_pct_change
logistic_regression,shuffle,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.8655813953488372,0.0025989231960062142,0.002015503875968938,0.23339317773787527,0.7952265118666947,0.0031300873295013244,0.0013075929477757153,0.1647010691666433,0.9011450381679389,0.005247224078193712,0.004198473282442716,0.4680851063829752,0.8448703084940974,0.0031383787433208144,0.002576401684061591,0.30587917866092934,0.9387509218105355,0.001164358669158767,-0.0009776174436449958,-0.10403189887378392
random_forest,shuffle,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553226,0.8786046511627907,0.0031046487433334597,0.0041860465116279055,0.47872340425531895,0.8835035610446708,0.0029789602124367016,0.0016470209602825747,0.18676744860620584,0.8076335877862595,0.0062015560340732395,0.009923664122137299,1.2440191387559676,0.8438584476035149,0.004342253704272806,0.006183096902112162,0.7381256828119542,0.9459111474298927,0.0015031918096761485,-0.006672911725429942,-0.7005063397079057
xgboost,shuffle,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.8829457364341085,0.004398840607476322,-0.0023255813953488857,-0.2626970227670808,0.8616063181030771,0.00687064538930746,6.785656461549827e-05,0.007876208392870334,0.8480916030534351,0.005063549298252523,-0.006870229007633566,-0.803571428571426,0.8547856587752669,0.005272633487649728,-0.0034518891174534216,-0.402206723060421,0.9510488709066628,0.0021320324902706573,-0.0037375680146694013,-0.3914559175025475
svm,shuffle,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.8914728682170543,0.002858773475129567,0.0015503875968992942,0.17421602787457227,0.8609209893585346,0.004401566538510233,-0.0021968813638989504,-0.2545285456852088,0.8740458015267176,0.004827904824684547,0.007633587786259555,0.8810572687224685,0.8674233439929457,0.003502724702550957,0.0026614392310410073,0.30776554984505045,0.9480861220178184,0.0010862737172326901,-0.0009103501883481746,-0.09592766833282851
mlp,shuffle,0.8837209302325582,0.8424908424908425,0.8778625954198473,0.8598130841121495,0.9467641958822474,0.8767441860465116,0.0068022979747225775,-0.006976744186046546,-0.7894736842105301,0.8495014028433561,0.007720540155232208,0.007010560352513573,0.8321230331461763,0.8465648854961831,0.01275060541106111,-0.03129770992366421,-3.5652173913043574,0.8479911251935086,0.00882897952741364,-0.011821958918640907,-1.3749452220593228,0.9377543698802144,0.0021063932649430777,-0.009009826002032928,-0.9516441412993096
naive_bayes,shuffle,0.772093023255814,0.6433915211970075,0.9847328244274809,0.7782805429864253,0.8275068263807227,0.7705426356589147,0.0012009250685914576,-0.0015503875968992942,-0.2008032128514146,0.6417934276194259,0.0012366489978039403,-0.0015980935775815608,-0.24838586225201775,0.9847328244274808,1.1102230246251565e-16,-1.1102230246251565e-16,-1.1274357846968644e-14,0.7771094912771215,0.000906547052331015,-0.001171051709303872,-0.15046652776520678,0.8246118430231398,0.0009172447164092463,-0.00289498335758287,-0.34984404542554604
logistic_regression,random,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.8620155038759691,0.005142053938535513,-0.0015503875968990721,-0.17953321364450656,0.7912805082223091,0.006589466751947248,-0.002638410696609861,-0.332327474977242,0.8969465648854962,0.008006174413512611,0.0,0.0,0.8407860378599317,0.005902603204922315,-0.0015078689501041298,-0.17901933492725627,0.9391306080959877,0.0009202119729970786,-0.0005979311581928437,-0.063628072705698
random_forest,random,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553226,0.877984496124031,0.004163014444061253,0.0035658914728681212,0.40780141843970535,0.8801305136171713,0.0037722197451167836,-0.001726026467216868,-0.19572644628248695,0.8099236641221375,0.009160305343511454,0.012213740458015265,1.5311004784688993,0.843546841996916,0.005929579959627231,0.0058714912955132315,0.7009268316892591,0.9482346082554362,0.0017136295786598984,-0.004349450899886476,-0.456594970079935
xgboost,random,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.8801550387596899,0.00454927155073526,-0.005116279069767415,-0.5779334500875627,0.8550885077563924,0.006766199425808356,-0.00644995378206914,-0.7486553497044537,0.848854961832061,0.006654807547390366,-0.006106870229007688,-0.7142857142857206,0.8519441591472201,0.005583584352046493,-0.006293388745500228,-0.7332921707926604,0.9521904211428458,0.0013767951907502018,-0.0025960177784863925,-0.2718951246751302
svm,random,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.8896124031007753,0.0027560292766869968,-0.0003100775193797256,-0.03484320557489948,0.8586890937801634,0.005367756783852042,-0.004428776942270063,-0.5131138043246812,0.8717557251908398,0.0054514720828571185,0.005343511450381699,0.6167400881057291,0.865151668183163,0.0032955652554957325,0.00038976342125829344,0.04507176126885552,0.9489057859805075,0.0007995234965748045,-9.0686225659109e-05,-0.00955601293735976
mlp,random,0.8837209302325582,0.8424908424908425,0.8778625954198473,0.8598130841121495,0.9467641958822474,0.8866666666666667,0.004570357511002678,0.002945736434108559,0.333333333333337,0.8579866925607306,0.007560111811000207,0.015495850069888073,1.839290030034541,0.86412213740458,0.01082247853340293,-0.013740458015267354,-1.565217391304368,0.8609833330964023,0.005889345644141183,0.0011702489842527752,0.13610504490765973,0.943081936499711,0.0018503811902716774,-0.0036822593825364125,-0.38893099237926704
naive_bayes,random,0.772093023255814,0.6433915211970075,0.9847328244274809,0.7782805429864253,0.8275068263807227,0.7708527131782945,0.0009302325581395543,-0.0012403100775194575,-0.16064257028113457,0.6421119343413991,0.0009586989354826359,-0.0012795868556083612,-0.19888152290657088,0.9847328244274808,1.1102230246251565e-16,-1.1102230246251565e-16,-1.1274357846968644e-14,0.7773432080992974,0.0007025609649602595,-0.0009373348871279941,-0.12043663375307366,0.8249436948159368,0.001150953197969332,-0.0025631315647859365,-0.3097414405626523
