model,method,accuracy_original,precision_original,recall_original,f1_original,roc_auc_original,accuracy_ablated_mean,accuracy_ablated_std,accuracy_delta,accuracy_pct_change,precision_ablated_mean,precision_ablated_std,precision_delta,precision_pct_change,recall_ablated_mean,recall_ablated_std,recall_delta,recall_pct_change,f1_ablated_mean,f1_ablated_std,f1_delta,f1_pct_change,roc_auc_ablated_mean,roc_auc_ablated_std,roc_auc_delta,roc_auc_pct_change
logistic_regression,shuffle,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.8634108527131783,0.001760901812651229,-0.00015503875968991832,-0.017953321364451942,0.7936609571995759,0.00261057071799318,-0.00025796171934311385,-0.03249219954279221,0.8969465648854962,0.003816793893129744,0.0,0.0,0.8421418074872262,0.0020719681976700184,-0.0001520993228095735,-0.018057749388881283,0.9393269288262612,0.0005532443106009477,-0.0004016104279193078,-0.042736855500637196
random_forest,shuffle,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553225,0.8748837209302327,0.001705426356589155,0.00046511627906986597,0.05319148936171339,0.8804082272175858,0.0025188634731385315,-0.0014483128668023593,-0.1642345212594063,0.8007633587786259,0.0033274037736951275,0.003053435114503733,0.38277511961721433,0.838694765908944,0.0023153962216045532,0.00101941520754123,0.12169573889068751,0.949975086201742,0.0007618709571948325,-0.002608972953580535,-0.2738837510984563
xgboost,shuffle,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.8807751937984495,0.0023461621628560426,-0.004496124031007853,-0.5078809106830238,0.8531099624115471,0.0024380753449576246,-0.008428499126914457,-0.9783079343739995,0.8534351145038167,0.00458015267175575,-0.0015267175572519776,-0.17857142857143665,0.853267872745608,0.0030839601921742637,-0.004969675147112329,-0.579055898837642,0.95315059892771,0.0006234308527263574,-0.0016358399936221568,-0.17133045956017592
svm,shuffle,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.8886821705426357,0.0015190634063771444,-0.0012403100775193465,-0.13937282229964784,0.8586067261757361,0.0024245091527900506,-0.004511144546697432,-0.522656835146002,0.8690839694656489,0.003835830389740786,0.0026717557251908497,0.30837004405286456,0.8638063444251098,0.001995041454293192,-0.0009555603367948917,-0.11049981868222866,0.9492530843282243,0.0012786507881432528,0.0002566121220577422,0.027040366278832065
mlp,shuffle,0.8837209302325582,0.8424908424908425,0.8778625954198473,0.8598130841121495,0.9467641958822474,0.8800000000000001,0.004450449641676678,-0.0037209302325580396,-0.4210526315789361,0.8462282026391668,0.005730394776853466,0.0037373601483242647,0.443608400214141,0.8610687022900765,0.007281978636770598,-0.016793893129770865,-1.913043478260855,0.8535700452675702,0.005550229572242285,-0.0062430388445793294,-0.7260925612717264,0.9432981882685907,0.0019120183056574127,-0.003466007613656674,-0.3660898488484618
naive_bayes,shuffle,0.772093023255814,0.6433915211970075,0.9847328244274809,0.7782805429864253,0.8275068263807227,0.7714728682170542,0.0010284107877071233,-0.0006201550387597843,-0.08032128514057447,0.6427521308668627,0.0010633262898068333,-0.0006393903301448178,-0.09937810945274106,0.9847328244274808,1.1102230246251565e-16,-1.1102230246251565e-16,-1.1274357846968644e-14,0.7778120533973873,0.0007782370668545514,-0.0004684895890380014,-0.06019546463802227,0.8254454587128535,0.0009058598119401522,-0.0020613676678692405,-0.24910582029698422
logistic_regression,random,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.8646511627906976,0.0023048168600493827,0.0010852713178294282,0.12567324955116357,0.7958031237368222,0.002149385719400701,0.00188420481790319,0.2373296281273805,0.8969465648854962,0.005397761688446921,0.0,0.0,0.8433458768306148,0.0029577991224400994,0.0010519700205789961,0.12489346201767658,0.9396468219958942,0.0005056123849921078,-8.171725828631793e-05,-0.008695836603108081
random_forest,random,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553225,0.8739534883720932,0.0015581202513365755,-0.0004651162790696439,-0.053191489361688,0.8797863057091911,0.0025307363107312337,-0.0020702343751970442,-0.23475863489076532,0.7988549618320612,0.0024439405486384826,0.0011450381679389832,0.14354066985646582,0.8373671430685722,0.002018695171076853,-0.0003082076328305705,-0.036793207842692514,0.9511121519542381,0.0007889998125211263,-0.001471907201084366,-0.15451730342722075
xgboost,random,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.88031007751938,0.0024806201550387555,-0.004961240310077386,-0.5604203152364122,0.8562106545765902,0.0026542930879445157,-0.005327806961871406,-0.6184061652172168,0.8477099236641221,0.0055178749216797515,-0.00725190839694656,-0.8482142857142851,0.8519300868943074,0.00336085794110087,-0.00630746099841295,-0.7349318395472232,0.9537026886971078,0.0005765302695471898,-0.0010837502242243557,-0.11350708179817888
svm,random,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.8903875968992248,0.0021980537796523624,0.00046511627906975495,0.05226480836236794,0.8600246253774998,0.0047722350052084965,-0.003093245344933715,-0.35838040780509556,0.8721374045801527,0.0030771976138543895,0.005725190839694583,0.6607929515418417,0.866026545437259,0.0024156062959919083,0.001264640675354256,0.14624148778876309,0.950111613816196,0.0006745000351805925,0.0011151416100294576,0.11750745579033053
