model,method,accuracy_original,precision_original,recall_original,f1_original,roc_auc_original,accuracy_ablated_mean,accuracy_ablated_std,accuracy_delta,accuracy_pct_change,precision_ablated_mean,precision_ablated_std,precision_delta,precision_pct_change,recall_ablated_mean,recall_ablated_std,recall_delta,recall_pct_change,f1_ablated_mean,f1_ablated_std,f1_delta,f1_pct_change,roc_auc_ablated_mean,roc_auc_ablated_std,roc_auc_delta,roc_auc_pct_change
logistic_regression,shuffle,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.8182945736434108,0.009776051330501979,-0.04527131782945737,-5.2423698384201085,0.8109416992284283,0.015688774153587753,0.017022780309509322,2.1441459453679825,0.7209923664122138,0.016143729757676813,-0.17595419847328242,-19.617021276595743,0.7632042170359992,0.01284025982634222,-0.07908968977403663,-9.389797211470732,0.9007065553185978,0.004724192344120413,-0.03902198393558276,-4.152474071560359
random_forest,shuffle,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553225,0.8572093023255816,0.005209394609739972,-0.017209302325581266,-1.9680851063829639,0.8927964029452538,0.006486224494855955,0.010939862860865568,1.2405490421172916,0.7370229007633587,0.013271250878407413,-0.06068702290076344,-7.607655502392355,0.8073864393615656,0.008271249082650025,-0.030288911339837132,-3.615829368081036,0.9332046120423335,0.0018187933428530565,-0.019379447112989,-2.034408084696818
xgboost,shuffle,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.884031007751938,0.000930232558139532,-0.0012403100775193465,-0.14010507880910306,0.8602798232108577,0.0014794068990920696,-0.001258638327603867,-0.14609194873973455,0.8530534351145038,0.001908396946564861,-0.001908396946564861,-0.22321428571428284,0.8566496151617627,0.001185771290729745,-0.0015879327309575864,-0.18502251909818304,0.9546942578677775,0.00019094114425869573,-9.21810535546852e-05,-0.009654625348347693
svm,shuffle,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.855813953488372,0.005503330030790345,-0.03410852713178303,-3.8327526132404275,0.8540590994909312,0.011017761830356737,-0.009058771231502338,-1.0495404554559977,0.7782442748091603,0.014122137404580156,-0.08816793893129782,-10.176211453744505,0.8142596940503057,0.0076905030286366525,-0.050502210711598994,-5.84001335321354,0.9156907101429056,0.0035338473375152724,-0.03330576206326097,-3.5095770151635923
mlp,shuffle,0.8837209302325582,0.8424908424908425,0.8778625954198473,0.8598130841121495,0.9467641958822474,0.8234108527131783,0.0074499310243311264,-0.06031007751937989,-6.824561403508776,0.8302954278963094,0.011968245415391566,-0.012195414594533105,-1.447542688829364,0.7106870229007635,0.016265095994398862,-0.16717557251908388,-19.043478260869552,0.7657176247067834,0.010978296650440667,-0.09409545940536612,-10.943711039537147,0.882665975723995,0.008218305836355109,-0.0640982201582524,-6.770241252999869
naive_bayes,shuffle,0.772093023255814,0.6433915211970075,0.9847328244274809,0.7782805429864253,0.8275068263807227,0.7209302325581395,0.013462507501452654,-0.05116279069767449,-6.626506024096394,0.6424871041986906,0.01401775212430341,-0.0009044169983168926,-0.14057023888568757,0.7053435114503818,0.023823643563858365,-0.2793893129770991,-28.3720930232558,0.6723760100103611,0.01762770728715753,-0.10590453297606428,-13.607501039366399,0.7189314970203096,0.01665797538916413,-0.10857532936041314,-13.12077748473574
logistic_regression,random,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.8218604651162791,0.009816537127613477,-0.04170542635658914,-4.829443447037701,0.8090283128228469,0.012955069254033372,0.015109393903927959,1.9031406789628404,0.7351145038167939,0.022399085116215574,-0.1618320610687023,-18.042553191489365,0.7701130171513634,0.014478654740342291,-0.07218088965867242,-8.569560942455151,0.9021964004544276,0.006372472026331342,-0.03753213879975292,-3.9939341237353996
random_forest,random,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553225,0.8548837209302326,0.003746680922044825,-0.019534883720930263,-2.2340425531914927,0.8912951224923626,0.004688075392302206,0.00943858240797446,1.070308148655477,0.7320610687022902,0.009775762194553951,-0.06564885496183204,-8.22966507177033,0.8038244156338965,0.00602889222443025,-0.03385093506750625,-4.041056602556369,0.9347123951129094,0.0016186025934036476,-0.017871664042413138,-1.8761246181528948
xgboost,random,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.8837209302325582,0.0006933544116278479,-0.0015503875968991832,-0.17513134851137882,0.8607261657261658,0.0010237693292100736,-0.0008122958122958046,-0.09428433535576303,0.851526717557252,0.0011450381679389164,-0.0034351145038167274,-0.40178571428570653,0.8561012200233856,0.0008638033588500452,-0.0021363278693347088,-0.24892034548944594,0.9548566958324199,9.285730568421002e-05,7.025691108775156e-05,0.007358390130375558
svm,random,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.8603100775193798,0.00830434836641368,-0.029612403100775175,-3.3275261324041794,0.8558555266454452,0.008677454955978032,-0.007262344076988336,-0.8414081463647279,0.7889312977099237,0.014588942636348383,-0.07748091603053442,-8.942731277533047,0.8210038332551785,0.011445114701484932,-0.04375807150672628,-5.0601294143240745,0.9168656448687541,0.004352827265676639,-0.03213082733741246,-3.38576889150249
