model,method,accuracy_original,precision_original,recall_original,f1_original,roc_auc_original,accuracy_ablated_mean,accuracy_ablated_std,accuracy_delta,accuracy_pct_change,precision_ablated_mean,precision_ablated_std,precision_delta,precision_pct_change,recall_ablated_mean,recall_ablated_std,recall_delta,recall_pct_change,f1_ablated_mean,f1_ablated_std,f1_delta,f1_pct_change,roc_auc_ablated_mean,roc_auc_ablated_std,roc_auc_delta,roc_auc_pct_change
logistic_regression,shuffle,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.7347286821705428,0.009416610628874557,-0.12883720930232545,-14.919210053859949,0.7126635218291442,0.01498323800904471,-0.0812553970897748,-10.234722356839718,0.5816793893129771,0.02006631973754948,-0.31526717557251904,-35.148936170212764,0.6403401213860824,0.015098447419444296,-0.20195378542395337,-23.97664090778,0.8172323759791122,0.008072340069218644,-0.12249616327506829,-13.035271161636516
random_forest,shuffle,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553226,0.7564341085271318,0.011486478413638118,-0.11798449612403106,-13.492907801418443,0.7948380507583861,0.017419697186886192,-0.08701848932600209,-9.867646875723683,0.5396946564885495,0.024864881641072267,-0.25801526717557266,-32.34449760765552,0.6426151542382035,0.020895848802462265,-0.19506019646319928,-23.285894266779053,0.8510000398620772,0.006436285032792587,-0.10158401929324545,-10.664047788425334
xgboost,shuffle,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.7589147286821706,0.010101343335976393,-0.12635658914728676,-14.273204903677753,0.7589694496494043,0.015904315712763316,-0.10256901188905732,-11.905331737122724,0.5958015267175572,0.01785753826761768,-0.25916030534351153,-30.312500000000007,0.6674424077860774,0.015166252480125519,-0.1907951401066429,-22.23104087849723,0.7285661610826539,0.01635802644505624,-0.22622027783867826,-23.693285599473963
svm,shuffle,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.7689922480620156,0.007689672414038594,-0.1209302325581394,-13.588850174216013,0.7589113490078543,0.008120111292448922,-0.10420652171457923,-12.073266612746403,0.6320610687022901,0.01925117589758549,-0.234351145038168,-27.04845814977974,0.6895739610917015,0.013361705355186689,-0.17518794367020318,-20.25851771516667,0.8438602435572917,0.0071601867835466545,-0.10513622864887484,-11.078674339479981
mlp,shuffle,0.8837209302325582,0.8424908424908425,0.8778625954198473,0.8598130841121495,0.9467641958822474,0.7694573643410852,0.007967544283739284,-0.1142635658914729,-12.929824561403514,0.7598226951957858,0.0113738982367025,-0.08266814729505667,-9.812349657195856,0.6324427480916031,0.017411442332758854,-0.2454198473282443,-27.956521739130437,0.6901782875615996,0.012561921700295178,-0.16963479655054992,-19.729264381422652,0.8318189065832222,0.00816275321133152,-0.11494528929902514,-12.1408572270641
naive_bayes,shuffle,0.772093023255814,0.6433915211970075,0.9847328244274809,0.7782805429864253,0.8275068263807227,0.5671317829457364,0.014307314102399165,-0.20496124031007756,-26.54618473895583,0.468925446052774,0.016493057318775976,-0.1744660751442335,-27.116626408076606,0.4935114503816793,0.01741144233275884,-0.4912213740458016,-49.88372093023257,0.4808488690231796,0.016130857155205285,-0.29743167396324577,-38.2165115964403,0.5400479341478485,0.013921670505528136,-0.28745889223287424,-34.737948143598636
logistic_regression,random,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.7403100775193798,0.014810056724451775,-0.12325581395348839,-14.272890484739678,0.7181798175983709,0.019534520782922758,-0.07573910132054806,-9.539903825907329,0.5935114503816794,0.03016233297729825,-0.30343511450381677,-33.829787234042556,0.6496455559648914,0.024043620902195386,-0.19264835084514442,-22.871868036508637,0.8178671795587267,0.008333588935889891,-0.12186135969545386,-12.967719357780666
random_forest,random,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553226,0.758139534883721,0.00877031666587964,-0.11627906976744184,-13.29787234042553,0.8085370000996077,0.01031318848992666,-0.07331953998478047,-8.314225347556444,0.5301526717557252,0.023802231797967748,-0.26755725190839696,-33.54066985645933,0.6400997321340173,0.018401770299789167,-0.19757561856738548,-23.586180302661568,0.8491315049927252,0.007422577895411584,-0.10345255416259747,-10.860202117420602
xgboost,random,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.6562790697674419,0.011788044592415723,-0.22899224806201546,-25.866900175131345,0.7579383069662377,0.044608769068164474,-0.10360015457222393,-12.025017941418849,0.22595419847328246,0.02137404580152671,-0.6290076335877862,-73.57142857142857,0.34779808620937347,0.028522212444170497,-0.5104394616833469,-59.47531227649711,0.7158616187989555,0.014741915444137306,-0.2389248201223767,-25.023901721132685
svm,random,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.78,0.012774478793869474,-0.10992248062015497,-12.351916376306614,0.7720219541585156,0.019432814756579916,-0.09109591656391791,-10.554284606304146,0.6507633587786259,0.0229801423259395,-0.21564885496183217,-24.889867841409703,0.7060354966676508,0.018441065151510498,-0.15872640809425398,-18.354926046141706,0.8460785681541866,0.00781400867714971,-0.10291790405197998,-10.8449195614735
