model,method,accuracy_original,precision_original,recall_original,f1_original,roc_auc_original,accuracy_ablated_mean,accuracy_ablated_std,accuracy_delta,accuracy_pct_change,precision_ablated_mean,precision_ablated_std,precision_delta,precision_pct_change,recall_ablated_mean,recall_ablated_std,recall_delta,recall_pct_change,f1_ablated_mean,f1_ablated_std,f1_delta,f1_pct_change,roc_auc_ablated_mean,roc_auc_ablated_std,roc_auc_delta,roc_auc_pct_change
logistic_regression,shuffle,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.823875968992248,0.008062015503875974,-0.0396899224806202,-4.596050269299826,0.8121554563295037,0.013378827673721921,0.01823653741058473,2.29702769086514,0.7370229007633589,0.009572470384720963,-0.15992366412213732,-17.829787234042545,0.7727260016089269,0.009885658258738477,-0.06956790520110889,-8.259338532386971,0.9095878261216193,0.005083679428954322,-0.03014071313256128,-3.207385098305366
random_forest,shuffle,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553225,0.8066666666666669,0.011478104817909831,-0.06775193798449597,-7.748226950354592,0.8774070453987483,0.01679360787508114,-0.004449494685639932,-0.5045599236826144,0.6091603053435115,0.022399085116215574,-0.18854961832061068,-23.636363636363633,0.718908047448981,0.01903110354022804,-0.1187673032524218,-14.178201991138392,0.9190406194566799,0.004689092652235836,-0.033543439698642596,-3.5213102063020365
xgboost,shuffle,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.7609302325581394,0.011132603454893801,-0.12434108527131793,-14.045534150612971,0.7620162058479748,0.017642567870294536,-0.09952225569048678,-11.551690392645787,0.5984732824427481,0.01883811096069171,-0.25648854961832057,-29.999999999999993,0.6702922464875627,0.01645274073845394,-0.18794530140515764,-21.898983779797383,0.7299892372391525,0.016391138344753784,-0.22479720168217965,-23.544239058961054
svm,shuffle,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.8590697674418605,0.006409310576308334,-0.030852713178294522,-3.466898954703827,0.8751271019250304,0.01020337368726726,0.012009231202596893,1.3913778882303889,0.7618320610687023,0.01082247853340292,-0.1045801526717558,-12.070484581497805,0.8145119651725323,0.008654392541630813,-0.050249939589372405,-5.810841031810686,0.9190336435931676,0.004570122966104201,-0.029962828612998926,-3.157317175620606
mlp,shuffle,0.8837209302325582,0.8424908424908425,0.8778625954198473,0.8598130841121495,0.9467641958822474,0.8753488372093023,0.005555495462688042,-0.008372093023255811,-0.9473684210526313,0.85579102716733,0.005491022059356425,0.013300184676487525,1.5786740942091715,0.8335877862595419,0.010687022900763348,-0.04427480916030546,-5.043478260869579,0.8445216115320203,0.007449706936293463,-0.015291472580129195,-1.7784647457324172,0.9351872521077074,0.0024884404560648393,-0.011576943774539994,-1.2227906193423332
naive_bayes,shuffle,0.772093023255814,0.6433915211970075,0.9847328244274809,0.7782805429864253,0.8275068263807227,0.7165891472868215,0.011472868217054264,-0.05550387596899242,-7.188755020080344,0.6420687420721026,0.0131142157589665,-0.0013227791249048604,-0.20559473995614302,0.683206106870229,0.020268577171529394,-0.3015267175572519,-30.620155038759687,0.6619077320320594,0.014803374735079946,-0.11637281095436591,-14.952553035415619,0.7114508799553544,0.013237387497736067,-0.11605594642536832,-14.024772089550453
logistic_regression,random,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.8271317829457365,0.0060940291494677775,-0.03643410852713169,-4.219030520646309,0.8146716786778481,0.010587700687447372,0.020752759758929096,2.6139646334651117,0.7438931297709923,0.01710758384046945,-0.15305343511450387,-17.06382978723405,0.7775046473199502,0.009145371551610538,-0.06478925949008563,-7.692001445844208,0.9086191776453472,0.0037778679065499157,-0.031109361608833375,-3.3104625760885638
random_forest,random,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553225,0.8026356589147288,0.011372914688429958,-0.07178294573643407,-8.209219858156024,0.8783798615023803,0.01091331653584038,-0.0034766785820078416,-0.3942453703042385,0.5965648854961831,0.02485609183994647,-0.20114503816793905,-25.215311004784702,0.7103535028718664,0.02055204043030002,-0.12732184782953637,-15.199426331803506,0.9181477089271123,0.003521489689780998,-0.03443635022821023,-3.6150458216512367
xgboost,random,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.6564341085271318,0.011912789278944826,-0.22883720930232554,-25.84938704028021,0.7582044134088146,0.04471047369054513,-0.10333404812964697,-11.99413058647688,0.2263358778625954,0.02179586493934233,-0.6286259541984733,-73.52678571428572,0.348266177695439,0.02901087711097049,-0.5099713701972813,-59.42077125959394,0.7203994180136728,0.014494395311569193,-0.2343870209076594,-24.548633218173645
svm,random,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.8584496124031007,0.004163014444061253,-0.031472868217054306,-3.536585365853664,0.8547175340517053,0.008281059947709965,-0.008400336670728259,-0.9732548653751243,0.7851145038167939,0.011456741236491331,-0.08129770992366414,-9.383259911894275,0.8183536566968554,0.005955378089686377,-0.046408248065049285,-5.366592562588298,0.9182842365415663,0.0020012887393052493,-0.03071223566460024,-3.2362855462678795
mlp,random,0.8837209302325582,0.8424908424908425,0.8778625954198473,0.8598130841121495,0.9467641958822474,0.8773643410852714,0.004674360754009705,-0.006356589147286762,-0.7192982456140283,0.8585286480277754,0.006628658920141684,0.016037805536932903,1.9036177876446445,0.8358778625954197,0.00919205693037579,-0.041984732824427606,-4.782608695652188,0.8470184870607472,0.006066860314002056,-0.01279459705140229,-1.4880672657609184,0.9352968728200427,0.0010944849065001535,-0.01146732306220466,-1.2112121594880099
naive_bayes,random,0.772093023255814,0.6433915211970075,0.9847328244274809,0.7782805429864253,0.8275068263807227,0.5937984496124031,0.0,-0.17829457364341084,-23.092369477911646,0.0,0.0,-0.6433915211970075,-100.0,0.0,0.0,-0.9847328244274809,-100.0,0.0,0.0,-0.7782805429864253,-100.0,0.5002511310864409,0.0009141977643717937,-0.3272556952942818,-39.547189806953526
