model,method,accuracy_original,precision_original,recall_original,f1_original,roc_auc_original,accuracy_ablated_mean,accuracy_ablated_std,accuracy_delta,accuracy_pct_change,precision_ablated_mean,precision_ablated_std,precision_delta,precision_pct_change,recall_ablated_mean,recall_ablated_std,recall_delta,recall_pct_change,f1_ablated_mean,f1_ablated_std,f1_delta,f1_pct_change,roc_auc_ablated_mean,roc_auc_ablated_std,roc_auc_delta,roc_auc_pct_change
logistic_regression,shuffle,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.7041860465116279,0.013242887754457432,-0.15937984496124036,-18.456014362657097,0.6421799073509812,0.014874078633091693,-0.1517390115679378,-19.112658478344503,0.6133587786259541,0.02871741115416285,-0.28358778625954206,-31.617021276595754,0.6272350385672174,0.020459492719127455,-0.2150588682428184,-25.532520953083548,0.7689713590975226,0.014768681601609338,-0.17075718015665797,-18.17090500328745
random_forest,shuffle,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553226,0.6990697674418604,0.013926761655996838,-0.1753488372093024,-20.05319148936171,0.7312000220968928,0.03148118446981943,-0.15065651798749535,-17.08401663303177,0.41030534351145037,0.021809228438414742,-0.3874045801526718,-48.56459330143541,0.52539656584032,0.02375905283174114,-0.31227878486108274,-37.27921379083261,0.7981618599645228,0.012211415718004446,-0.1544221991907998,-16.21087374984307
xgboost,shuffle,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.8435658914728682,0.008616864019590845,-0.04170542635658914,-4.711033274956216,0.8099554074067541,0.014261464011796607,-0.051583054131707495,-5.9873187831446195,0.8038167938931299,0.016828555484769917,-0.051145038167938806,-5.9821428571428426,0.8067143764764027,0.010785940582953828,-0.05152317141631768,-6.003369526633444,0.923088115121679,0.005546023781491503,-0.031698323799653205,-3.319938627895083
svm,shuffle,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.650232558139535,0.011729786244575359,-0.23968992248062004,-26.93379790940765,0.5859230895420489,0.019012769022523548,-0.27719478118038465,-32.11551870063487,0.47480916030534354,0.018240920832593165,-0.39160305343511453,-45.198237885462554,0.5243838845205553,0.016288275247279566,-0.34037802024134944,-39.36089441116927,0.7110916229844737,0.015615011787291196,-0.23790484922169286,-25.06909732431637
mlp,shuffle,0.8837209302325582,0.8424908424908425,0.8778625954198473,0.8598130841121495,0.9467641958822474,0.7017054263565892,0.015304139757213094,-0.182015503875969,-20.596491228070175,0.6747576145234797,0.02329916642029995,-0.16773322796736279,-19.909204884821758,0.5125954198473283,0.023716391424283948,-0.3652671755725191,-41.60869565217391,0.5825211459410774,0.023224014107156903,-0.2772919381710721,-32.25025802641817,0.8057680425726985,0.014633230367954612,-0.14099615330954884,-14.892425582080742
naive_bayes,shuffle,0.772093023255814,0.6433915211970075,0.9847328244274809,0.7782805429864253,0.8275068263807227,0.7013953488372093,0.006657646683281833,-0.07069767441860464,-9.156626506024095,0.5912383465440525,0.005826243830047351,-0.05215317465295499,-8.10597792086626,0.8583969465648854,0.012595419847328253,-0.12633587786259548,-12.829457364341094,0.7001691058918452,0.00705097108127141,-0.07811143709458013,-10.03641139412919,0.7622595818468101,0.009000771910274544,-0.06524724453391262,-7.884798342907374
logistic_regression,random,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.633953488372093,0.019860095972944455,-0.22961240310077524,-26.588868940754047,0.5553423783552163,0.027545332477504136,-0.2385765405637027,-30.050491917811062,0.49961832061068706,0.03026840288993411,-0.3973282442748091,-44.29787234042553,0.5256465973874652,0.02583206103503477,-0.3166473094225706,-37.593446522934975,0.6631823889342873,0.017931120939610273,-0.27654615031989327,-29.428301766739494
random_forest,random,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553226,0.6582945736434109,0.012750936555009048,-0.2161240310077519,-24.716312056737582,0.6283009553081581,0.02788111900722407,-0.2535555847762301,-28.7524754028548,0.39083969465648855,0.01665452231242093,-0.40687022900763364,-51.00478468899522,0.4816230932060515,0.017419055254146127,-0.35605225749535124,-42.50480298808141,0.7979336495724791,0.010745646559237057,-0.15465040958284348,-16.234830731891044
xgboost,random,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.8221705426356589,0.007876518323026691,-0.06310077519379842,-7.127845884413307,0.8034971994633026,0.009831972307030206,-0.05804126207515903,-6.736932205152386,0.7442748091603054,0.015362299082059638,-0.11068702290076327,-12.946428571428562,0.7726818686603925,0.01104751348034287,-0.08555567923232787,-9.968764410552488,0.9105534849421003,0.00557195381977051,-0.04423295397923188,-4.632758926614413
svm,random,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.5671317829457365,0.019900600297327174,-0.3227906976744185,-36.27177700348431,0.4664113543273877,0.0252852789498476,-0.39670651639504584,-45.96203251625421,0.450763358778626,0.02551548841734086,-0.41564885496183207,-47.97356828193832,0.45824215102125787,0.023356489609406242,-0.40651975374064686,-47.009442888510925,0.612830606102884,0.02446536306172546,-0.3361658661032826,-35.4232998697862
mlp,random,0.8837209302325582,0.8424908424908425,0.8778625954198473,0.8598130841121495,0.9467641958822474,0.64031007751938,0.014192610841979297,-0.2434108527131782,-27.543859649122794,0.5839711381091415,0.02548476410367053,-0.258519704381701,-30.68516491139321,0.39885496183206104,0.02475037074331829,-0.4790076335877863,-54.56521739130436,0.4736964644862319,0.023459531377935328,-0.3861166196259176,-44.90704163040563,0.7054880114802784,0.016732832466073537,-0.24127618440196896,-25.48429539808848
naive_bayes,random,0.772093023255814,0.6433915211970075,0.9847328244274809,0.7782805429864253,0.8275068263807227,0.667906976744186,0.011904715547567429,-0.104186046511628,-13.49397590361447,0.6084623829141715,0.015457172748669045,-0.03492913828283595,-5.428908702099696,0.5110687022900764,0.024166665829430133,-0.4736641221374045,-48.10077519379845,0.5553986987999973,0.019600458854777736,-0.2228818441864281,-28.637725328605,0.7643593167639966,0.008224966299726931,-0.0631475096167261,-7.631056035261387
