model,method,accuracy_original,precision_original,recall_original,f1_original,roc_auc_original,accuracy_ablated_mean,accuracy_ablated_std,accuracy_delta,accuracy_pct_change,precision_ablated_mean,precision_ablated_std,precision_delta,precision_pct_change,recall_ablated_mean,recall_ablated_std,recall_delta,recall_pct_change,f1_ablated_mean,f1_ablated_std,f1_delta,f1_pct_change,roc_auc_ablated_mean,roc_auc_ablated_std,roc_auc_delta,roc_auc_pct_change
logistic_regression,shuffle,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.7345736434108525,0.012379823117939307,-0.1289922480620157,-14.937163375224438,0.6728867275772399,0.017019317354225856,-0.12103219134167909,-15.244905803037023,0.6751908396946564,0.019194337344549856,-0.22175572519083975,-24.723404255319156,0.6738767582344088,0.0148869512940481,-0.16841714857562695,-19.995057213872307,0.8034709903733084,0.014447339854398507,-0.13625754888087216,-14.499671254957686
random_forest,shuffle,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553226,0.6944186046511629,0.016704661936862243,-0.17999999999999994,-20.585106382978715,0.7073539046733207,0.030555942310730742,-0.17450263541106747,-19.788097891111477,0.42175572519083965,0.02721724654352225,-0.37595419847328254,-47.12918660287082,0.5283354877412996,0.029493690806495047,-0.3093398629601032,-36.928371200261125,0.8031775058298288,0.014572831752584357,-0.1494065533254938,-15.684343222998704
xgboost,shuffle,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.8466666666666667,0.008476239958348305,-0.03860465116279066,-4.3607705779334465,0.8056697316210902,0.010850680530371552,-0.05586872991737135,-6.484763293980603,0.8206106870229007,0.019311619298738213,-0.03435114503816794,-4.017857142857143,0.8129324149069019,0.01140824351029252,-0.0453051329858184,-5.278857013079732,0.9263448468299682,0.004268305326257824,-0.028441592091363987,-2.9788433236961147
svm,shuffle,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.6648062015503876,0.011884507222782507,-0.2251162790697674,-25.29616724738675,0.6063498008060164,0.018270481466620647,-0.2567680699164171,-29.748899730404272,0.4988549618320611,0.016287471979657908,-0.367557251908397,-42.42290748898679,0.5472940338902741,0.015978590511775376,-0.31746787087163064,-36.71159299727007,0.732038646283858,0.017905238813027385,-0.2169578259223086,-22.861815852480344
mlp,shuffle,0.8837209302325582,0.8424908424908425,0.8778625954198473,0.8598130841121495,0.9467641958822474,0.7288372093023257,0.014894214646973623,-0.1548837209302325,-17.526315789473678,0.6981201610816661,0.020419953796085195,-0.14437068140917642,-17.13617218465442,0.585496183206107,0.023786925879210503,-0.2923664122137404,-33.304347826086946,0.6367889477885134,0.02173996794054449,-0.22302413632363616,-25.938676724596814,0.8476590995156759,0.011274795639935895,-0.0991050963665715,-10.46776977811459
naive_bayes,shuffle,0.772093023255814,0.6433915211970075,0.9847328244274809,0.7782805429864253,0.8275068263807227,0.7119379844961241,0.006750865444054982,-0.06015503875968986,-7.791164658634529,0.5986229715565281,0.005933323768924439,-0.04476854964047938,-6.95821256040009,0.882824427480916,0.010105497935018101,-0.10190839694656484,-10.34883720930232,0.7134454917040645,0.006643187378440292,-0.06483505128236089,-8.330550193838231,0.7703316524824109,0.0068689546502114,-0.05717517389831184,-6.909329575972157
logistic_regression,random,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.6469767441860466,0.01691344256473713,-0.21658914728682166,-25.08078994614003,0.574409135402523,0.025138457225900995,-0.21950978351639594,-27.648891881214126,0.5087786259541984,0.022193269862758214,-0.38816793893129775,-43.276595744680854,0.5393331633499626,0.020168070546247363,-0.3029607434600732,-35.96853081930231,0.6906304187511212,0.01480164998798567,-0.24909812050305935,-26.50745508918534
random_forest,random,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553226,0.6541085271317829,0.012680047584863458,-0.22031007751937992,-25.195035460992916,0.6190731918006674,0.02777093910626828,-0.26278334828372074,-29.798877293417135,0.3877862595419848,0.017000807214748163,-0.4099236641221374,-51.38755980861244,0.47661937725106185,0.0179854881787977,-0.3610559734503409,-43.10213654347371,0.8124324836067206,0.00913632919575291,-0.14015157554860203,-14.712777754529876
xgboost,random,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.8274418604651161,0.010285276459300455,-0.0578294573643412,-6.532399299474618,0.8089400550238388,0.010591955532127313,-0.052598406514622775,-6.105172184733,0.7530534351145037,0.023407249017499195,-0.10190839694656495,-11.919642857142865,0.7798401829381066,0.015253589227938343,-0.07839736495461369,-9.134692970158113,0.9132232475634305,0.0035603365505633405,-0.04156319135790165,-4.353140101660595
svm,random,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.56,0.01892235200296727,-0.32992248062015495,-37.07317073170731,0.4546590155647965,0.025135671008942533,-0.408458855157637,-47.32364709535618,0.41374045801526715,0.021127255729920698,-0.4526717557251909,-52.2466960352423,0.43311929133466653,0.021816012271896508,-0.4316426134272382,-49.91461939411896,0.6404510394036633,0.020997786571782816,-0.30854543280250324,-32.51281135800394
mlp,random,0.8837209302325582,0.8424908424908425,0.8778625954198473,0.8598130841121495,0.9467641958822474,0.6514728682170542,0.01126140762625419,-0.23224806201550396,-26.280701754385976,0.5957028179878827,0.019634222807795736,-0.24678802450295978,-29.292665517090445,0.4427480916030534,0.021319450448502204,-0.43511450381679395,-49.56521739130436,0.5077117963895326,0.018270717264425616,-0.35210128772261695,-40.95091063730437,0.765574113567058,0.014241122526504162,-0.1811900823151894,-19.137825775756806
naive_bayes,random,0.772093023255814,0.6433915211970075,0.9847328244274809,0.7782805429864253,0.8275068263807227,0.677984496124031,0.009041564844541602,-0.09410852713178297,-12.188755020080325,0.6167785064726117,0.010556022394363568,-0.02661301472439581,-4.136363916466171,0.5469465648854961,0.02456129853923078,-0.4377862595419848,-44.45736434108528,0.579568655944334,0.01679937120502856,-0.1987118870420913,-25.532166881571033,0.7705050525182868,0.006438685620795362,-0.05700177386243588,-6.888375061719463
