model,method,accuracy_original,precision_original,recall_original,f1_original,roc_auc_original,accuracy_ablated_mean,accuracy_ablated_std,accuracy_delta,accuracy_pct_change,precision_ablated_mean,precision_ablated_std,precision_delta,precision_pct_change,recall_ablated_mean,recall_ablated_std,recall_delta,recall_pct_change,f1_ablated_mean,f1_ablated_std,f1_delta,f1_pct_change,roc_auc_ablated_mean,roc_auc_ablated_std,roc_auc_delta,roc_auc_pct_change
logistic_regression,shuffle,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.704186046511628,0.018183872138165268,-0.15937984496124025,-18.456014362657083,0.681181204024033,0.029874234967498105,-0.11273771489488593,-14.200154727185632,0.5110687022900764,0.026357994916976418,-0.3858778625954198,-43.02127659574467,0.58383820346085,0.026802849618423927,-0.2584557033491858,-30.684740950818227,0.7856944970402407,0.016517939512743284,-0.1540340422139398,-16.39133385649749
random_forest,shuffle,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553226,0.7703875968992249,0.010271244697706594,-0.10403100775193797,-11.897163120567374,0.8796815047965213,0.016743213749542418,-0.002175035287866889,-0.24664275752366155,0.5038167938931297,0.026608282531196015,-0.29389312977099247,-36.842105263157904,0.6402390141195544,0.021988556556028185,-0.19743633658184834,-23.56955309912496,0.909215115699679,0.003697466729055327,-0.04336894345564357,-4.552768129890791
xgboost,shuffle,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.8651162790697675,0.005234711012754758,-0.020155038759689825,-2.276707530647975,0.822478439272027,0.008466160414928618,-0.03906002226643457,-4.533752584496869,0.8519083969465647,0.007595323947378794,-0.003053435114503955,-0.3571428571428733,0.8369014066545468,0.0060896343790301935,-0.02133614123817351,-2.4860414567693243,0.9427371295318199,0.0034764166674124165,-0.01204930938951232,-1.2619900009393723
svm,shuffle,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.6302325581395349,0.012695203780424349,-0.25968992248062006,-29.18118466898954,0.6947488061108751,0.05074429498858781,-0.16836906461155843,-19.507076648828132,0.15801526717557252,0.026564446780618804,-0.7083969465648856,-81.76211453744494,0.25699894422833486,0.03798661779411702,-0.6077629605335699,-70.28095909253838,0.7182040141111753,0.01768486118042331,-0.23079245809499127,-24.31963288108539
mlp,shuffle,0.8837209302325582,0.8424908424908425,0.8778625954198473,0.8598130841121495,0.9467641958822474,0.6082170542635659,0.006086135326012555,-0.2755038759689923,-31.175438596491233,0.8335336885336886,0.08289805908259026,-0.008957153957153907,-1.063175230566529,0.04389312977099237,0.014101490993825318,-0.833969465648855,-95.0,0.08309016957079529,0.025555388595190763,-0.7767229145413542,-90.33625201730968,0.7031520937556056,0.015598844517688193,-0.24361210212664175,-25.7310218517115
naive_bayes,shuffle,0.772093023255814,0.6433915211970075,0.9847328244274809,0.7782805429864253,0.8275068263807227,0.6710077519379846,0.010759287797145729,-0.1010852713178294,-13.092369477911639,0.5918906667112492,0.01406371328677901,-0.05150085448575825,-8.004590173949246,0.6133587786259543,0.01846713038687471,-0.37137404580152655,-37.71317829457363,0.6022739941839417,0.0129388386049387,-0.17600654880248368,-22.614794933342377,0.7561557012735933,0.010111281324249348,-0.07135112510712938,-8.622421330250376
logistic_regression,random,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.6786046511627907,0.016127757470397967,-0.18496124031007755,-21.418312387791744,0.631498679333392,0.025104767154887117,-0.16242023958552698,-20.458038688219567,0.501908396946565,0.02147264607486292,-0.3950381679389312,-44.042553191489354,0.5591841129422396,0.02187647823742613,-0.2831097938677962,-33.611758506006446,0.7621888266597573,0.011154098363700527,-0.17753971259442325,-18.892659441345515
random_forest,random,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553226,0.6775193798449612,0.013082184874250523,-0.1968992248062016,-22.517730496453904,0.9158801551855873,0.03110946950598285,0.03402361510119911,3.858180277025928,0.22633587786259546,0.028818689589332317,-0.5713740458015267,-71.62679425837321,0.3623191352854464,0.0396759993926484,-0.47535621541595635,-56.74706973506274,0.89310983995376,0.008229602228874948,-0.059474219201562595,-6.243461522366824
xgboost,random,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.8643410852713178,0.009360284556975873,-0.020930232558139528,-2.364273204903677,0.8314603837981307,0.01663561207297587,-0.03007807774033089,-3.491205452002692,0.83587786259542,0.01254326467569081,-0.01908396946564872,-2.2321428571428417,0.833531855905659,0.010562332597434344,-0.024705691987061296,-2.8786542895638383,0.9375082215534253,0.005051831857586219,-0.017278217367906912,-1.809642100428965
svm,random,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.6271317829457365,0.01567732435360983,-0.26279069767441854,-29.529616724738673,0.6128757605084598,0.05410151922481805,-0.2502421102139737,-28.99280836399783,0.22290076335877865,0.022913482472982645,-0.6435114503816795,-74.27312775330397,0.32669918590590635,0.03106722094489014,-0.5380627188559983,-62.22090911881038,0.685139417615052,0.015716467543649682,-0.2638570545911145,-27.803797202503443
mlp,random,0.8837209302325582,0.8424908424908425,0.8778625954198473,0.8598130841121495,0.9467641958822474,0.5951937984496124,0.0016186521719240951,-0.28852713178294576,-32.64912280701754,0.6,0.4358898943540674,-0.24249084249084252,-28.78260869565218,0.004198473282442748,0.003600756157273513,-0.8736641221374046,-99.52173913043478,0.008330518036379287,0.007129112281566078,-0.8514825660757702,-99.03112453272546,0.7235993462619337,0.012664044578445213,-0.2231648496203137,-23.57132331270262
naive_bayes,random,0.772093023255814,0.6433915211970075,0.9847328244274809,0.7782805429864253,0.8275068263807227,0.5947286821705426,0.0012403100775193689,-0.17736434108527133,-22.971887550200805,0.5666666666666667,0.4725815626252608,-0.07672485453034084,-11.925064599483207,0.0030534351145038168,0.0028562270128045355,-0.981679389312977,-99.68992248062015,0.006066410572472701,0.005663140695895887,-0.7722141324139526,-99.22053678109508,0.778749526637833,0.009430580218644988,-0.04875729974288967,-5.89207220877441
