pair_index,refseq_A,refseq_B,intergenic_distance,label,gene_between_id,gene_between_start,gene_between_end,gene_between_strand
12,NP_414556.1,NP_416895.2,2499032,0,NP_414557.1,15444,16557,1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414559.1,16750,16960,-1
12,NP_414556.1,NP_416895.2,2499032,0,YP_025292.1,16750,16903,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414560.1,17488,18655,1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414561.1,18714,19620,1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414562.1,19810,20314,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414563.1,20232,20508,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414564.1,20814,21078,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414565.1,21180,21399,1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414566.1,21406,22348,1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414567.1,22390,25207,1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414568.1,25206,25701,1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414569.1,25825,26275,1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414570.1,26276,27227,1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414571.1,27292,28207,1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414572.1,28373,29195,1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414573.1,29650,30799,1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414574.1,30816,34038,1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414576.4,34299,34695,1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414577.2,34780,35371,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414578.2,35376,36162,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414579.4,36270,37824,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414580.1,37897,39115,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414581.1,39243,40386,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414582.1,40416,41931,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414583.2,42402,43173,1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414584.1,43187,44129,1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414585.1,44179,45466,1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414586.1,45462,45750,1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414587.1,45806,47138,1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414588.1,47245,47776,1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414589.1,47768,49631,1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414590.1,49822,50302,1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414591.1,50379,51222,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414592.1,51228,51606,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414593.1,51608,52430,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414594.1,52426,53416,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414595.1,53415,54702,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414596.1,54754,57109,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414597.1,57363,58179,1
12,NP_414556.1,NP_416895.2,2499032,0,YP_009518734.1,58473,59124,1
12,NP_414556.1,NP_416895.2,2499032,0,YP_009518735.1,59120,59279,1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414600.1,59686,60346,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414601.1,60357,63264,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414602.1,63428,65780,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414603.1,65854,66550,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414604.1,66834,68337,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414605.1,68347,70048,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414606.1,70386,71265,1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414607.1,71350,72115,1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414608.1,72228,72927,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414609.1,72910,74521,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414610.1,74496,75480,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414611.1,75643,77299,-1
12,NP_414556.1,NP_416895.2,2499032,0,YP_002791237.1,77387,77519,1
12,NP_414556.1,NP_416895.2,2499032,0,YP_025293.1,77620,78799,1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414613.1,78847,79453,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414614.1,79463,80864,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414615.4,80866,81958,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414616.1,81957,83529,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414617.1,83621,83708,-1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414618.4,84367,85312,1
12,NP_414556.1,NP_416895.2,2499032,0,YP_009518736.1,85466,85511,-1
12,NP_414556.1,NP_416895.2,2499032,0,YP_025294.2,85629,87354,1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414620.1,87356,87848,1
12,NP_414556.1,NP_416895.2,2499032,0,NP_414622.1,88027,89032,1
