pair_index,refseq_A,refseq_B,strand_A,strand_B,gene_A_start,gene_A_end,gene_B_start,gene_B_end,intergenic_distance,label,region_start,region_end,n_genes_between
4,NP_414548.1,NP_414549.1,-1,1,6528,7959,8237,9191,2663,0,9191,6528,0
10,NP_414554.1,NP_414555.1,-1,1,11381,11786,12162,14079,2698,0,14079,11381,0
12,NP_414556.1,NP_416895.2,1,1,14167,15298,2514330,2515443,2499032,0,15298,2514330,2347
13,NP_416895.2,NP_414559.1,1,-1,2514330,2515443,16750,16960,2498693,0,2515443,16750,0
17,NP_414561.1,YP_009518739.1,1,-1,18714,19620,257922,258426,238302,0,19620,257922,212
19,YP_009518740.1,NP_414564.1,-1,-1,258344,258620,20814,21078,237266,0,21078,258344,210
33,NP_414578.2,NP_414579.4,-1,-1,35376,36162,36270,37824,2448,1,37824,35376,0
34,NP_414579.4,NP_414580.1,-1,-1,36270,37824,37897,39115,2845,1,39115,36270,0
35,NP_414580.1,NP_414581.1,-1,-1,37897,39115,39243,40386,2489,1,40386,37897,0
36,NP_414581.1,NP_414582.1,-1,-1,39243,40386,40416,41931,2688,1,41931,39243,0
37,NP_414582.1,NP_414583.2,-1,1,40416,41931,42402,43173,2757,0,43173,40416,0
49,NP_414594.1,NP_414595.1,-1,-1,52426,53416,53415,54702,2276,1,54702,52426,0
50,NP_414595.1,NP_414596.1,-1,-1,53415,54702,54754,57109,3694,1,57109,53415,0
51,NP_414596.1,NP_414597.1,-1,1,54754,57109,57363,58179,3425,0,58179,54754,0
55,NP_414600.1,NP_414601.1,-1,-1,59686,60346,60357,63264,3578,1,63264,59686,0
56,NP_414601.1,NP_414602.1,-1,-1,60357,63264,63428,65780,5423,0,65780,60357,0
57,NP_414602.1,NP_414603.1,-1,-1,63428,65780,65854,66550,3122,0,66550,63428,0
58,NP_414603.1,NP_414604.1,-1,-1,65854,66550,66834,68337,2483,1,68337,65854,0
59,NP_414604.1,NP_414605.1,-1,-1,66834,68337,68347,70048,3214,1,70048,66834,0
60,NP_414605.1,NP_414606.1,-1,1,68347,70048,70386,71265,2918,0,71265,68347,0
63,NP_414608.1,NP_414609.1,-1,-1,72228,72927,72910,74521,2293,1,74521,72228,0
64,NP_414609.1,NP_414610.1,-1,-1,72910,74521,74496,75480,2570,1,75480,72910,0
65,NP_414610.1,NP_414611.1,-1,-1,74496,75480,75643,77299,2803,1,77299,74496,0
69,NP_414613.1,NP_414614.1,-1,-1,78847,79453,79463,80864,2017,1,80864,78847,0
70,NP_414614.1,NP_414615.4,-1,-1,79463,80864,80866,81958,2495,1,81958,79463,0
71,NP_414615.4,NP_414616.1,-1,-1,80866,81958,81957,83529,2663,1,83529,80866,0
103,NP_414648.1,NP_414649.1,-1,-1,114521,115724,115713,117099,2578,1,117099,114521,0
109,NP_414654.1,NP_414655.1,-1,1,120177,121551,122091,122856,2679,0,122856,120177,0
114,NP_414659.1,NP_414660.1,-1,1,129406,131260,131614,134212,4806,0,134212,129406,0
119,NP_414664.4,NP_414665.1,-1,1,136569,136917,137082,138633,2064,0,138633,136569,0
121,NP_414666.1,NP_414667.4,-1,1,138834,141225,141430,141967,3133,0,141967,138834,0
131,NP_414676.1,NP_414677.1,-1,-1,148806,149601,149714,150953,2147,0,150953,148806,0
135,NP_414680.4,NP_414681.1,-1,-1,152242,152812,152828,155426,3184,0,155426,152242,0
136,NP_414681.1,NP_414682.1,-1,-1,152828,155426,155460,156201,3373,1,156201,152828,0
140,NP_414685.4,NP_414686.3,-1,-1,157728,159126,159185,160112,2384,0,160112,157728,0
144,NP_414689.4,NP_414690.4,-1,1,161500,162031,162104,164534,3034,0,164534,161500,0
146,NP_414691.1,YP_010051172.1,1,1,164729,167264,164864,167264,2400,0,167264,164864,0
159,NP_414701.1,NP_414702.1,-1,1,178454,179153,179236,180754,2300,0,180754,178454,0
165,NP_414708.1,NP_414709.1,-1,-1,185122,185947,185977,188650,3528,1,188650,185122,0
166,NP_414709.1,NP_414710.1,-1,-1,185977,188650,188711,189506,3529,1,189506,185977,0
193,NP_414735.4,NP_414736.1,-1,-1,216178,217003,217056,218775,2597,0,218775,216178,0
194,NP_414736.1,NP_414737.1,-1,-1,217056,218775,218886,219594,2538,0,219594,217056,0
200,NP_414742.1,NP_414743.1,1,1,222832,223408,229166,229970,5758,0,223408,229166,0
205,NP_414747.1,NP_414748.1,-1,-1,232596,233955,234026,234782,2186,0,234782,232596,0
215,NP_414756.2,NP_414757.1,-1,1,240858,243303,243542,244121,3263,0,244121,240858,0
222,NP_414763.1,NP_414766.1,1,1,247636,248134,250897,251953,2763,0,248134,250897,0
227,NP_414772.1,NP_414773.1,-1,1,254258,255716,255976,256435,2177,0,256435,254258,0
231,NP_414776.1,NP_414777.1,-1,1,259044,260100,260387,261491,2447,0,261491,259044,0
243,NP_414787.4,NP_414788.1,-1,-1,268096,268960,269288,270182,2086,0,270182,268096,0
245,YP_009518741.1,YP_009518770.2,1,1,272846,273992,1396111,1397092,1122119,0,273992,1396111,1060
246,YP_009518770.2,NP_414794.4,1,1,1396111,1397092,275324,276728,1121768,0,1397092,275324,0
249,NP_414796.2,NP_414808.1,-1,-1,277755,278802,290648,291152,13397,1,291152,277755,0
250,NP_414808.1,YP_588445.1,-1,1,290648,291152,1049832,1050108,759460,1,1050108,290648,0
251,YP_588445.1,YP_009518742.1,1,-1,1049832,1050108,280384,280735,769724,0,1050108,280384,0
253,NP_414801.1,NP_414802.2,-1,1,280828,281983,282277,283186,2358,0,283186,280828,0
262,NP_414808.1,YP_588445.1,-1,1,290648,291152,1049832,1050108,759460,1,1050108,290648,0
263,YP_588445.1,YP_009518744.1,1,1,1049832,1050108,291499,292231,758609,0,1050108,291499,0
270,NP_414815.1,YP_009518746.1,-1,-1,295695,297096,297380,297791,2096,0,297791,295695,0
272,NP_414817.1,NP_414818.1,-1,-1,297769,298726,298735,300934,3165,1,300934,297769,0
273,NP_414818.1,NP_414819.1,-1,-1,298735,300934,300930,301887,3152,1,301887,298735,0
278,NP_414823.2,NP_414824.1,-1,-1,304494,305205,305173,306817,2323,1,306817,304494,0
279,NP_414824.1,NP_414825.1,-1,-1,305173,306817,306806,309332,4159,1,309332,305173,0
280,NP_414825.1,NP_414826.1,-1,-1,306806,309332,309357,310026,3220,1,310026,306806,0
287,YP_002791238.1,NP_416592.2,-1,1,313140,313242,2170235,2170535,1857395,0,2170535,313140,0
289,NP_416593.1,NP_414835.2,1,-1,2170531,2171398,317725,318319,1853673,0,2171398,317725,0
292,NP_414838.2,NP_414839.1,-1,1,318675,320001,320226,321081,2406,0,321081,318675,0
297,NP_414844.1,NP_414845.1,-1,-1,324695,325364,325576,327247,2552,0,327247,324695,0
298,NP_414845.1,NP_414846.1,-1,-1,325576,327247,327260,328733,3157,1,328733,325576,0
299,NP_414846.1,NP_414847.3,-1,-1,327260,328733,328746,329334,2074,1,329334,327260,0
300,NP_414847.3,NP_414848.1,-1,1,328746,329334,329462,331496,2750,0,331496,328746,0
318,NP_414864.1,NP_414865.1,-1,1,346856,348443,348681,349572,2716,0,349572,346856,0
330,NP_414877.1,NP_414878.1,-1,-1,361925,363179,363230,366305,4380,1,366305,361925,0
331,NP_414878.1,NP_414879.3,-1,-1,363230,366305,366427,367510,4280,0,367510,363230,0
333,NP_414880.2,NP_414881.1,-1,1,367586,368420,368610,370275,2689,0,370275,367586,0
342,NP_414889.1,NP_414890.1,-1,-1,377534,378368,378461,379571,2037,1,379571,377534,0
345,YP_026163.2,NP_418693.1,-1,1,2069814,2070180,4498594,4499500,2429686,1,4499500,2069814,0
346,NP_418693.1,NP_414897.1,1,-1,4498594,4499500,382738,383935,4116762,0,4499500,382738,0
349,NP_414898.4,NP_414899.2,-1,1,384058,384616,385231,386194,2136,0,386194,384058,0
354,YP_010051175.1,NP_416593.1,-1,1,391591,391648,2170531,2171398,1779807,0,2171398,391591,0
356,NP_416592.2,NP_414909.2,1,1,2170235,2170535,394505,395129,1776030,0,2170535,394505,0
358,NP_414910.1,NP_414911.1,-1,1,395129,396287,396638,397859,2730,0,397859,395129,0
377,NP_414930.3,NP_414931.1,-1,-1,411296,412481,412606,415753,4457,0,415753,411296,0
378,NP_414931.1,NP_414932.1,-1,-1,412606,415753,415749,416952,4346,1,416952,412606,0
379,NP_414932.1,NP_414933.1,-1,1,415749,416952,417141,417831,2082,0,417831,415749,0
400,NP_414953.2,NP_414954.1,-1,-1,437160,438135,438314,440177,3017,1,440177,437160,0
401,NP_414954.1,NP_414955.1,-1,-1,438314,440177,440201,441101,2787,1,441101,438314,0
408,NP_414961.4,NP_414962.1,-1,-1,445301,446666,446814,447705,2404,0,447705,445301,0
411,NP_414964.1,NP_414965.1,-1,-1,448045,448660,448649,450641,2596,1,450641,448045,0
412,NP_414965.1,NP_414966.1,-1,-1,448649,450641,450662,451610,2961,1,451610,448649,0
413,NP_414966.1,NP_414967.1,-1,-1,450662,451610,452069,453545,2883,0,453545,450662,0
414,NP_414967.1,NP_414968.4,-1,-1,452069,453545,453588,454167,2098,1,454167,452069,0
425,NP_414978.1,NP_414979.1,-1,-1,464851,465547,465611,467312,2461,0,467312,464851,0
426,NP_414979.1,NP_414980.2,-1,1,465611,467312,467411,468230,2619,0,468230,465611,0
437,NP_414990.2,NP_414991.4,-1,-1,477066,478617,478780,479251,2185,0,479251,477066,0
441,NP_414994.1,NP_414995.1,-1,-1,480333,480708,481253,484403,4070,0,484403,480333,0
442,NP_414995.1,NP_414996.1,-1,-1,481253,484403,484425,485619,4366,1,485619,481253,0
457,NP_415009.1,NP_415010.1,-1,1,499013,499973,500124,501429,2416,0,501429,499013,0
459,NP_415011.1,NP_415012.1,-1,-1,501561,503238,503475,504696,3135,0,504696,501561,0
460,NP_415012.1,NP_415013.1,-1,1,503475,504696,504913,506566,3091,0,506566,503475,0
465,NP_415017.1,YP_009518752.1,-1,-1,508874,511379,511167,511379,2505,0,511379,508874,0
482,NP_415036.1,NP_415037.1,-1,-1,530131,531226,531294,532221,2090,0,532221,530131,0
493,NP_415048.1,NP_415049.1,-1,-1,543260,544046,544056,545292,2032,1,545292,543260,0
494,NP_415049.1,NP_415050.1,-1,-1,544056,545292,545313,546363,2307,1,546363,544056,0
495,NP_415050.1,NP_415051.1,-1,1,545313,546363,546679,548347,3034,0,548347,545313,0
503,NP_415058.1,NP_415059.1,-1,1,553942,554437,554610,555996,2054,0,555996,553942,0
513,NP_415068.1,NP_415069.1,-1,-1,563847,564480,564814,565978,2131,0,565978,563847,0
515,NP_416593.1,NP_415075.1,1,1,2170531,2171398,568314,568647,1603084,0,2171398,568314,0
527,YP_009518770.2,NP_415086.1,1,1,1396111,1397092,577397,577613,819695,0,1397092,577397,0
540,NP_415097.1,NP_415098.1,-1,-1,584679,585633,586146,586908,2229,1,586908,584679,0
542,NP_415099.1,NP_415100.1,-1,-1,587090,587981,587981,590954,3864,0,590954,587090,0
543,NP_415100.1,NP_415101.1,-1,-1,587981,590954,590940,593178,5197,1,593178,587981,0
544,NP_415101.1,NP_415102.1,-1,-1,590940,593178,593327,594770,3830,0,594770,590940,0
545,NP_415102.1,NP_415103.1,-1,-1,593327,594770,594759,595443,2116,1,595443,593327,0
546,NP_415103.1,NP_415104.1,-1,1,594759,595443,595599,596973,2214,0,596973,594759,0
552,NP_415109.1,NP_415110.1,-1,-1,603415,604663,604770,605424,2009,0,605424,603415,0
557,YP_025295.1,NP_416895.2,1,1,607835,607988,2514330,2515443,1906342,0,607988,2514330,1796
558,NP_416895.2,NP_415115.2,1,-1,2514330,2515443,609458,610079,1905985,0,2515443,609458,0
559,NP_415115.2,NP_415116.1,-1,-1,609458,610079,610253,612494,3036,1,612494,609458,0
560,NP_415116.1,NP_415117.2,-1,1,610253,612494,612736,613939,3686,0,613939,610253,0
567,NP_415122.1,NP_415123.1,-1,1,621184,622189,622299,623550,2366,0,623550,621184,0
569,NP_415124.1,NP_415125.1,-1,1,623553,624510,624884,626060,2507,0,626060,623553,0
577,NP_415132.1,NP_415133.1,-1,1,632388,633477,633585,634746,2358,0,634746,632388,0
580,NP_415135.1,NP_415136.1,-1,-1,635348,636569,636715,637618,2270,1,637618,635348,0
589,NP_415144.1,NP_415145.1,-1,-1,644196,645003,645116,646580,2384,0,646580,644196,0
590,NP_415145.1,NP_415146.1,-1,-1,645116,646580,646630,647509,2393,0,647509,645116,0
592,NP_415147.1,NP_415148.1,-1,-1,647483,648035,648038,649571,2088,1,649571,647483,0
593,NP_415148.1,NP_415149.4,-1,-1,648038,649571,649581,650490,2452,1,650490,648038,0
596,NP_415151.4,NP_415152.1,-1,1,650797,651856,652234,653893,3096,0,653893,650797,0
599,NP_415154.1,NP_415155.1,-1,1,654582,655968,656556,657117,2535,0,657117,654582,0
604,NP_415161.1,NP_415162.4,-1,-1,659250,660216,660424,661378,2128,0,661378,659250,0
608,NP_415165.1,NP_415166.1,-1,-1,662751,663963,664101,665190,2439,0,665190,662751,0
609,NP_415166.1,NP_415167.1,-1,-1,664101,665190,665200,666313,2212,1,666313,664101,0
610,NP_415167.1,NP_415168.1,-1,-1,665200,666313,666315,668217,3017,1,668217,665200,0
611,NP_415168.1,NP_415169.1,-1,-1,666315,668217,668247,668715,2400,1,668715,666315,0
617,NP_415174.1,NP_415175.1,-1,-1,671604,672186,672200,674783,3179,1,674783,671604,0
618,NP_415175.1,NP_415176.1,-1,1,672200,674783,675017,675500,3300,0,675500,672200,0
